        L = 0.99          L = 0.95          L = 1.00     Etotal @ L = 0.00
        5.09786504        5.39768069        5.01578104    -5046.42967451                            
        4.76756805        5.10739960        4.67928706    -5051.50287762                            
        5.35039796        5.70456864        5.25568673    -5055.16041322                            
        4.91230030        5.33944885        4.80068842    -5050.46139512                            
        4.75195193        5.18453456        4.63456546    -5064.98745933                            
        5.62251892        6.09677594        5.49786487    -5067.01051470                            
        5.33288689        5.87847091        5.19005188    -5065.62762974                            
        4.02783072        4.57361087        3.88268127    -5072.46075856                            
        4.01570683        4.53995149        3.87251556    -5057.74298728                            
        4.66784527        5.19664621        4.52193655    -5053.94855096                            
        4.17837708        4.67343118        4.04457119    -5038.07871497                            
        4.83428105        5.33342481        4.69794269    -5044.03429544                            
        5.40399420        5.88088234        5.27608138    -5023.69449021                            
        5.13316886        5.54338161        5.01799198    -5021.29033714                            
        5.79050807        6.27955767        5.64978886    -5035.24922796                            
        5.07059107        5.59548824        4.93059841    -5030.43780071                            
        4.86250880        5.36017504        4.72404569    -5029.53416657                            
        3.70207255        4.15422035        3.57601641    -5036.90339207                            
        3.54492941        3.95909460        3.42594468    -5038.74701785                            
        3.65478314        4.02900466        3.55162194    -5050.79206147                            
        4.16231325        4.47325473        4.06801254    -5051.06519230                            
        3.85484558        4.16593649        3.75653680    -5043.04824382                            
        3.99168488        4.35039401        3.88798695    -5045.64921763                            
        2.76750409        3.08142677        2.67714347    -5071.13950605                            
        2.41052753        2.68363327        2.32209669    -5062.09525627                            
        3.21558552        3.50092172        3.12583121    -5052.76135736                            
        3.90310136        4.14865986        3.81788838    -5056.35052424                            
        2.96908841        3.20516816        2.88398117    -5057.06936476                            
        2.87777788        3.21321859        2.77967840    -5052.99489044                            
        3.44104525        3.79109725        3.34024793    -5066.87186933                            
        3.43931305        3.81494704        3.33484993    -5092.01856073                            
        3.65916167        4.04041975        3.53641406    -5073.75237279                            
        3.56904285        3.95850179        3.44824402    -5059.55032229                            
        3.82513255        4.30204636        3.68841857    -5059.48837337                            
        3.57561792        5.33496709        3.45677722    -5041.46777360                            
        3.62189052       24.18282226        3.50396152    -5054.28181522                            
        3.89728986        4.46935339        3.77484694    -5068.66405256                            
        4.45915458        4.89549003        4.33355709    -5077.62512597                            
        5.43107516        5.81948171        5.31117774    -5087.46411815                            
        4.90214960        6.07259417        4.78120771    -5066.38220725                            
        4.89271534        5.25954084        4.78149106    -5073.09290089                            
        5.08675933        5.87651427        4.99494965    -5060.01634956                            
        4.65832855        8.78078158        4.55507124    -5074.74927764                            
        3.26354591        4.55409794        3.18472240    -5053.78095022                            
        3.13302264        5.05707784        3.05240752    -5065.60537968                            
        3.49245434        3.84836548        3.41443570    -5084.07946107                            
        3.73986188      104.02978378        3.67411833    -5069.82849755                            
        3.86843006     1968.38055640        3.81661600    -5053.42480266                            
        3.79532300      668.29161698        3.75322075    -5047.44465103                            
        4.17125111    27048.41739667        3.64446086    -5061.59299233                            
        3.15689880     3416.63692777        3.08813240    -5082.25107739                            
        3.52537897       61.66468069        3.45983039    -5092.09858140                            
        4.04001352     4025.44734175        3.96752516    -5069.01192966                            
        4.20658963       89.58184042        4.12739424    -5076.34589573                            
        4.62366013      900.25880298        4.55908410    -5098.71283459                            
        4.33450986      119.26928542        4.25564302    -5085.15061521                            
        4.41534283       15.99035845        4.32310085    -5094.57637397                            
        4.78010180       32.80795352        4.67767319    -5087.69680184                            
        5.30664070    14860.51946751        4.94784325    -5080.47933611                            
        4.18131865    13528.93933930        3.97832419    -5075.32588716                            
        4.60064496      843.03581185        4.53444815    -5063.92292464                            
        4.86578358       94.63065474        4.77264079    -5036.21762772                            
        5.56402096      137.16343497        5.46801592    -5035.54612982                            
        6.15583468        7.19450682        6.04690193    -5037.06007905                            
        6.48819424        7.49910139        6.37225292    -5039.31339576                            
        6.90290332        7.29591163        6.78065799    -5041.28801022                            
        6.34942875        6.87457201        6.21863385    -5021.96025937                            
