        L = 0.75          L = 0.70          L = 0.80     Etotal @ L = 0.00
        7.85148813        8.01349201        7.73860278    -5041.93494511                            
        7.79087396        7.85788172        7.69783543    -5056.12051811                            
        7.28342985        7.72306931        7.12611835    -5057.88447524                            
        6.33919348        6.51337848        6.27498090    -5063.88947389                            
        5.67096558        5.70080249        5.63648394    -5051.31702016                            
        5.74145089        5.77106131        5.67209321    -5039.11074094                            
        6.01082708        6.06934336        5.94537775    -5027.47616489                            
        6.47288549        6.48557723        6.36389599    -5043.75491637                            
        6.44447914        6.48310776        6.34365280    -5030.85005345                            
        6.48172790        6.56137568        6.38157366    -5046.42205442                            
        7.42326560        7.67748309        7.22326382    -5046.26494936                            
        6.04711690        6.19605626        5.86864199    -5054.72134980                            
        5.94716675        5.99129198        5.82319455    -5065.89013311                            
        5.63712996        5.73791210        5.42192846    -5067.70455041                            
        4.66986701        4.69910099        4.52266734    -5076.03699899                            
        5.54984495        5.54980901        5.42613229    -5051.98992133                            
        6.37224226        6.34476069        6.27149041    -5053.03409873                            
        5.92224056        5.93117936        5.79725739    -5053.03182625                            
        5.34274051        5.30604164        5.25712468    -5065.66506008                            
        5.27757611        5.24167243        5.19043399    -5057.52975449                            
        4.68723130        4.62705753        4.62563312    -5034.22178217                            
        5.40103521        5.37999220        5.30185726    -5076.23533232                            
        5.44249745        5.39208407        5.38461927    -5077.35179364                            
        4.50209390        4.42488943        4.47263444    -5087.94899424                            
        4.34996379        4.22008758        4.36322649    -5078.40233801                            
        4.83966322        4.71159956        4.85121616    -5083.89934730                            
        4.23147665        4.12465415        4.21435822    -5071.04438581                            
        3.64194399        3.47298706        3.67984444    -5081.49152309                            
        4.12105393        3.95735210        4.16342300    -5075.90292287                            
        3.29553228        3.15098555        3.33582983    -5083.77611637                            
        3.27570213        3.25192920        3.30293883    -5088.24384016                            
        3.05483441        2.93587530        3.07470162    -5083.59684101                            
        3.04755231        2.92878919        3.04965803    -5087.08340070                            
        2.50551227        2.36817693        2.51817800    -5090.51997720                            
        2.92555076        2.87630374        2.85615541    -5062.30460280                            
        4.67377543        4.67773216        4.56126427    -5055.68441899                            
        5.20287962        5.24452751        5.11309959    -5047.69707485                            
        4.76558746        4.81737735        4.66045776    -5030.76348395                            
        4.90771990        5.05190588        4.70487292    -5041.12647842                            
        4.86978754        5.00977232        4.62127481    -5062.50998503                            
        6.12287405        6.55993661        5.80854020    -5059.34488397                            
        7.12602941        7.44475660        6.77267186    -5064.38212114                            
        7.05537996        7.39193250        6.74285707    -5072.49442492                            
        7.25317006        7.43469767        6.99245334    -5074.21649626                            
        6.96818764        7.12435571        6.78836009    -5074.15372186                            
        6.87307842        7.31359650        6.64141810    -5062.89445678                            
        7.67828597       10.82688748        7.09701322    -5040.06073489                            
        7.55225343        8.99036542        7.29649207    -5033.68399412                            
        8.19305203       10.09435376        7.80334032    -5048.63358694                            
        9.28029260       12.30560464        8.65604602    -5045.09609418                            
        7.79044163        7.91983092        7.67880170    -5052.95355395                            
        7.52833746        7.65168165        7.37315428    -5052.34710682                            
        6.25316096        6.43447162        6.10888623    -5034.68748343                            
        6.22908541        6.29512359        6.13761312    -5040.47755737                            
        5.14991117        5.45778084        5.04924074    -5028.73047749                            
        5.73864984        6.06391231        5.61741932    -5044.64110029                            
        5.74230364        7.10998443        5.45018884    -5037.62477417                            
        5.87286873        5.91848724        5.83017220    -5041.31889925                            
        7.08401650        7.31679281        6.99857961    -5050.42381947                            
        5.59104386        5.63732102        5.51459782    -5030.88510214                            
        5.30673412        5.32884583        5.28153791    -5054.64640341                            
        5.07029740        5.39021386        5.00945143    -5060.22792381                            
        6.82517234        6.95201050        6.73211876    -5053.03062262                            
        8.31445255        8.49835776        8.17654065    -5057.12234915                            
        7.98149395        8.08372988        7.78279950    -5047.84284269                            
        6.65980412        6.65960622        6.55009837    -5024.60374240                            
        6.18291184        6.22227827        6.08051004    -5031.52287664                            
        7.99044571        8.05486013        7.85616753    -5037.50449377                            
        7.65021590        7.75425753        7.46683231    -5021.45250188                            
        7.23624666        7.40945633        7.00420743    -5033.58185243                            
        7.41541479        7.97423830        7.13650432    -5041.54353422                            
        8.20770459        9.03786476        7.92251877    -5058.10175189                            
        7.39369892        7.73480311        7.28198162    -5070.24216846                            
        6.72347112        6.72485639        6.65177549    -5064.67570835                            
        6.97978978        7.01544906        6.86568018    -5049.56799833                            
        8.12174811        8.35105228        7.95584983    -5054.44090657                            
        8.81761235        9.05900765        8.61380514    -5065.93041905                            
        9.69750257       14.37680259        8.66820334    -5066.84748445                            
        8.10540775        9.69191244        7.63141074    -5038.52752487                            
        7.78785841       10.69397058        7.12232226    -5037.45889549                            
        5.98416072        6.20264954        5.93659777    -5071.25350761                            
        4.59403887        8.51143276        3.92658337    -5050.88472044                            
        4.37999960        4.95263054        4.33758680    -5060.47408144                            
        3.43686714        3.75229647        3.52992165    -5066.67690490                            
        4.19497920        4.97842603        4.20149408    -5067.44241040                            
        4.52394643        6.02290275        4.35263110    -5070.09677130                            
        3.64579320        4.44760622        3.56946275    -5073.53362843                            
        3.72751220        5.63717781        3.49153489    -5074.65617921                            
        4.91737116       10.27225296        4.07786336    -5088.43446209                            
        4.95722259        7.63121549        4.63472695    -5093.93881482                            
        5.83133769        9.97079513        5.18983473    -5081.60068512                            
        5.98242281       10.49041507        5.32768881    -5095.84675142                            
        4.96757126        7.32564104        4.69171424    -5098.79935712                            
        5.17914725        7.17564184        4.91302634    -5076.74428444                            
        4.95736879        7.61183452        4.55228597    -5055.58873740                            
        4.54521740        5.39327695        4.44411549    -5045.52917647                            
        4.66286154        5.48692622        4.56237944    -5054.06082903                            
        4.40322925        4.61492343        4.38574942    -5060.73631152                            
        5.38076603        5.64548113        5.33324074    -5055.53372426                            
        5.15101676        6.41297900        4.92114802    -5063.08876158                            
        5.65130595        6.26279806        5.48950778    -5065.78427138                            
        6.31687316        6.92773361        6.12080359    -5081.62058776                            
        6.80487514        8.43163825        6.43349014    -5085.66043861                            
        5.63158967        6.60657523        5.43274125    -5068.42360535                            
        6.35020120        7.39814896        6.10358870    -5057.22955972                            
        5.80830828        6.06453431        5.73541682    -5055.51016802                            
        4.98551283        4.99093598        4.95534454    -5072.30463678                            
        5.17760561        5.13057605        5.11518835    -5073.16781171                            
        5.63670614        5.59721416        5.55776451    -5069.51227410                            
        5.08649260        5.06663580        4.99753589    -5067.89099414                            
        6.00357217        6.01034618        5.89120744    -5056.94072826                            
        5.16286780        5.19427090        5.02986088    -5064.03381849                            
        5.17182311        5.16339664        5.07805901    -5042.76336949                            
        5.55484964        5.52191684        5.49360597    -5053.01013153                            
        4.74148954        4.76305812        4.64647639    -5057.71447407                            
        5.39754349        5.47050226        5.28182874    -5073.13180950                            
        6.22451089        6.28553853        6.11309966    -5039.88283688                            
        5.56956226        7.18063239        5.25213063    -5053.48982902                            
        5.18973573        6.66381972        4.83312892    -5061.09212275                            
        4.89101791        5.92780004        4.65389581    -5090.03256283                            
        5.06029842        5.17675565        4.94250724    -5103.79872827                            
        4.55831133        4.80586662        4.44424329    -5105.58948449                            
        4.55767823        4.72336914        4.36896155    -5091.83882633                            
        4.88122980        5.00338243        4.71962016    -5083.15719928                            
        3.37434225        3.42473312        3.28073789    -5109.07707008                            
        3.34756726        3.29021211        3.31430085    -5096.49531853                            
        3.49103202        3.50453470        3.46074978    -5095.65278067                            
        2.93614876        3.65544772        2.82042691    -5083.92842889                            
        3.28173254        8.76969019        2.42653963    -5066.90077356                            
