        L = 0.05          L = 0.00          L = 0.10     Etotal @ L = 0.00
       -3.88945179       -3.97855312       -3.35728279    -4936.51818828                            
       -4.97306118       -4.97387007       -4.43713801    -4939.06120216                            
       -4.21016181       -3.74570267       -4.00304354    -4942.89250095                            
       -3.96373626       -3.81014227       -3.56249377    -4941.72996819                            
       -2.89613003       -2.51430911       -2.59997876    -4950.00006568                            
       -2.35015152       -1.92298837       -2.07734373    -4966.80506471                            
       -2.94117291       -2.84729662       -2.45471149    -4970.18092374                            
       -2.53878559       -1.91099078       -2.37872199    -4971.03776645                            
       -2.66141168       -2.25063669       -2.38210577    -4976.34875610                            
       -2.84508075       -2.91080744       -2.27524983    -4969.40643757                            
       -2.87734974       -3.05681690       -2.19872817    -4975.37333952                            
       -1.21303269       -1.08387244       -0.73582845    -4997.08147749                            
       -0.40100772       -0.17600365        0.00382222    -4990.96749947                            
        0.46530832        0.74225983        0.83240392    -4986.52530794                            
        0.69835096        1.58122217        0.69223086    -4988.48647733                            
       -0.52790246       -0.11587721       -0.22798086    -4984.53304709                            
       -1.11051271       -0.33286006       -0.92492933    -5001.07486865                            
       -1.06593387       -0.12713087       -1.04739642    -4977.82123620                            
       -0.49691176        0.59918228       -0.63617280    -4978.78456026                            
        1.17781741        2.87970068        0.66716091    -4977.92211712                            
        0.66709634        2.54856064       -0.02304325    -4979.35140853                            
       -0.73068122        0.01522519       -0.75005919    -4989.91859019                            
        0.07180455        1.22819975       -0.17771100    -5005.19637791                            
       -0.66855409       -0.70571064       -0.17565739    -5029.89493600                            
       -0.57047201       -0.55974377       -0.08887205    -5004.26166930                            
       -0.80012222       -0.73640612       -0.36110841    -5007.03915537                            
       -0.82216761       -0.60248336       -0.43783235    -5016.03576182                            
       -1.06116328       -0.68389943       -0.74883319    -5012.02452885                            
       -1.90160744       -1.59179892       -1.52939233    -4999.90241322                            
       -1.54256351       -1.20644138       -1.19607173    -5025.99913766                            
       -1.35862320       -0.74993348       -1.12131959    -5028.51956349                            
       -1.38053164       -0.26010955       -1.39544121    -4991.28454015                            
       -0.12835349        1.68146880       -0.52423631    -4994.62185862                            
        0.51600191        1.47619611        0.56344684    -4986.12892101                            
       -0.44662219       -0.17383511       -0.06274929    -4969.69333855                            
       -0.44729278       -0.25068013       -0.03311515    -4953.96832307                            
       -1.01188279        0.17312370       -1.10054187    -4954.52899967                            
       -2.77983233       -1.95342934       -2.66848868    -4949.67075586                            
       -1.89643946       -1.37524613       -1.66825576    -4951.26708238                            
       -1.87609490       -1.54397211       -1.55801002    -4965.08202267                            
       -1.49348194       -0.97606196       -1.29521542    -4973.17745888                            
        0.54437921        1.08284533        0.71913827    -4972.06299631                            
        1.33509666        1.93807541        1.42176317    -4984.72512533                            
