        L = 0.65          L = 0.60          L = 0.70     Etotal @ L = 0.00
        5.68155226        7.11896004        5.52301712    -5017.45702271                            
        4.25041674        4.79153095        4.44678579    -5026.91895868                            
        3.25860533        4.45682661        3.16261089    -5026.42144756                            
        3.58448141        4.67411749        3.58231745    -5009.32910277                            
        4.43768926        4.65734377        4.71791413    -5001.93015294                            
        4.54734270        5.99142859        4.46705962    -5003.38392284                            
        4.55394745        6.29345260        4.29404893    -5018.77761993                            
        2.77723625        3.07361038        3.01479218    -5029.14819240                            
        3.53240809        4.54315866        3.48814110    -5030.34696481                            
        2.93211701        3.07400015        3.23688491    -5035.09013871                            
        3.04055320        2.92039673        3.46059992    -5041.42969669                            
        3.02170379        3.78656000        3.16963768    -5034.36322926                            
        2.63770359        2.73290629        3.03658738    -5040.71426666                            
        2.70738404        2.94308546        3.09960029    -5034.99234003                            
        3.05300644        6.13495779        2.79956380    -5013.41901647                            
        3.64376035        6.83651263        3.22705371    -5039.00381376                            
        2.93584684        5.52877742        2.35243831    -5074.75695458                            
        2.39766754        3.29286364        2.55516802    -5062.77232583                            
        3.13750104        5.33042088        3.07185653    -5042.86049704                            
        2.31971225        3.55005380        2.51130600    -5042.55029369                            
        2.25666577        3.15590266        2.51992371    -5042.67600161                            
        2.36497570        3.63056980        2.58348879    -5024.63741149                            
        3.24723123        4.76252499        3.28730502    -5006.63524436                            
        3.64854736        5.79279408        3.46139136    -5018.57625570                            
        2.69680158        2.70074620        3.14458577    -5003.58600349                            
        2.27691217        2.52779564        2.61766292    -5016.65678220                            
        2.02804444        2.63046970        2.22933259    -5017.05049078                            
        2.22748674        3.22811566        2.33836516    -5020.65995996                            
        2.53403725        2.86211007        2.83398437    -5002.71665320                            
        3.39421149        3.30418189        3.87527925    -5017.20640228                            
        2.77769812        3.20100820        3.14379512    -5016.13523218                            
        3.50143287        4.06438180        3.79305730    -5027.64130946                            
        2.83781654        2.64233710        3.33106033    -5025.81264823                            
        2.89936062        3.14115133        3.23433834    -5027.71557922                            
        3.04360011        3.88009584        3.21446783    -5010.85602623                            
        3.72631716        4.18257719        3.96426556    -4998.59419425                            
        3.73804249        4.52335043        3.85045665    -5002.89477314                            
        3.69965961        4.62545775        3.78177920    -5017.43972407                            
        4.72778496        5.01283246        5.00131511    -5000.34853369                            
        4.61320665        4.85723851        4.85611772    -5003.44243884                            
        3.92438452        3.93805172        4.24346234    -5001.73685858                            
        4.71337193        5.29617280        4.90827015    -4994.17535956                            
        5.42310003        7.72562139        4.97769516    -4990.25250653                            
        5.07261759        5.69093773        5.22128099    -4995.57975500                            
        4.82079247        6.47639328        4.71853555    -4999.16740807                            
        4.91990916        6.55923291        4.88810220    -4999.54866516                            
        6.14973506        8.53650610        5.90032742    -5004.68485497                            
        6.25026816        7.89599790        6.13913696    -5004.84941222                            
        6.80447570        8.03277487        6.89629888    -5024.13864106                            
        6.29225456        7.97772232        6.20999731    -5017.09493268                            
        6.60588223        8.65258061        6.42162547    -4992.07614270                            
        5.79229464        7.24783043        5.81404295    -4996.44173374                            
        5.61583753        7.68716285        5.43637002    -5002.09152997                            
        5.33177855        6.25121575        5.43826999    -4991.37454837                            
        5.88726414        6.66127707        5.98306890    -5000.56556482                            
        4.10212030        4.54614924        4.34891989    -5002.75592623                            
        3.65521545        4.02382047        3.94329848    -5022.01892767                            
        4.52239834        4.54520243        4.85697159    -5018.83470287                            
        4.24436918        4.58706825        4.49158454    -5021.66936718                            
        6.04644049        6.71456280        6.23240804    -5019.03625888                            
        6.68370836        7.13641306        6.86663421    -5039.11925944                            
        6.49272382        6.63653748        6.77281106    -5036.23551042                            
        5.92802619        6.82949051        5.92692609    -5037.71420583                            
        5.95793227        6.38204142        6.17967903    -5021.20084388                            
        5.46749133        6.62195351        5.40812490    -5030.21815649                            
        4.67140784        5.29706509        4.89447197    -5027.72034221                            
        3.88020398        3.86513747        4.26582044    -5014.17169018                            
        2.61611488        2.50979512        3.06251156    -5003.96322416                            
        2.60719385        2.51390119        3.05642271    -5009.82297992                            
        3.01846802        3.01401062        3.37160071    -4980.39478402                            
        3.56236782        3.62412418        3.97386088    -4993.47341704                            
        2.60184042        2.96827894        2.89441226    -4991.69267070                            
        1.67984191        2.22313115        1.96270865    -5005.14926347                            
        2.58125043        3.58429528        2.76286272    -4987.08820309                            
        3.77727782        7.24972253        3.28140085    -4991.77068895                            
        3.28588219        5.08318483        3.14916229    -4976.09133826                            
        4.40016388        7.15710829        3.96757990    -4998.58126775                            
        3.01263794        4.73908742        2.85652789    -4992.53310475                            
        3.41631906        4.48717037        3.42893434    -4999.30359144                            
        3.73335592        4.34211737        3.90158407    -5003.19186312                            
        4.50330394        4.66282508        4.77059410    -4996.32038149                            
        4.81001978        5.58786306        4.77076737    -4981.36220582                            
        5.66006160        6.25802436        5.67051544    -4977.77933053                            
        6.73016203        7.81050818        6.58404611    -4975.45021009                            
        7.42844845       10.56520145        6.45760965    -4968.20364753                            
        5.56800122        7.59160215        5.04341628    -4973.97033678                            
        5.78413518        7.49268514        5.46266373    -4957.62781191                            
        5.38340336        7.03699168        5.04867184    -4961.67523269                            
        5.40721063        6.72622122        5.12798945    -5000.01877035                            
        6.24509000        9.79320902        5.12176066    -4987.78815697                            
        4.41596186        5.33141186        4.34500702    -4991.00322519                            
        4.15339111        4.80178585        4.17350164    -5004.81836055                            
        4.16170353        5.94764043        3.68045153    -4997.51072795                            
        3.91072172        4.90664532        3.74730700    -4989.57161941                            
        4.92973300        6.42351544        4.53593068    -4983.67389263                            
        4.62416489        5.86322800        4.34474098    -5010.30321937                            
        4.59708093        7.29994908        3.75477402    -5023.53219170                            
        4.33740155        5.36715119        4.16253396    -5012.03088332                            
        4.07252687        5.04634138        3.99073426    -5025.39186166                            
        4.73970898        6.00768573        4.51831816    -5017.23079105                            
        4.56924798        6.61185882        4.07997908    -5008.76237302                            
        4.51282478        5.89444357        4.29713140    -5010.72573961                            
        4.59626187        5.86790995        4.33850009    -5010.67122524                            
        5.18498871        6.70986893        4.80242814    -5013.70415924                            
        3.99114799        5.54328690        3.64100032    -5012.76161935                            
        4.86514158        5.97417386        4.70973202    -5009.12678501                            
        4.87540998        5.31975446        4.95799920    -5029.06862112                            
        4.68664415        5.30692823        4.66759083    -5022.59631938                            
        3.65628897        3.93917850        3.77468387    -5043.79750116                            
        4.54212439        6.85648099        3.83417196    -5043.34635625                            
        3.47214396        4.89394263        3.29449660    -5021.33541260                            
        4.43041395        6.33245341        4.19079032    -5013.73825710                            
        5.02481227        6.45058094        4.96602865    -5018.15074485                            
        4.72897675        5.34536762        4.87973401    -5024.73675601                            
        4.53463561        5.54341867        4.56844773    -5044.21220983                            
        3.26582218        4.08925277        3.35745357    -5047.35088171                            
