        L = 0.40          L = 0.35          L = 0.45     Etotal @ L = 0.00
        1.05244670        1.96966891        1.10608483    -5099.54192506                            
        3.11992175        5.54219660        2.47996618    -5094.00554077                            
        2.04210824        2.66065143        2.17018887    -5078.91334521                            
        1.74225618        2.05912853        2.01510510    -5073.67988087                            
        2.27674579        3.32400923        2.22042030    -5065.30601059                            
        2.16047519        3.69308386        1.86167820    -5053.72991629                            
        2.84272288        6.50953989        1.62505631    -5063.16989280                            
        1.11491508        2.00580789        1.09427189    -5066.01212441                            
        0.96898092        1.59654894        1.05380177    -5064.17100541                            
        1.71382523        2.14786438        1.89592278    -5054.26062405                            
        1.11609824        1.97511234        1.10848176    -5065.64766174                            
        2.17833829        3.39726675        1.84831834    -5071.00000495                            
        1.79468938        2.55810307        1.71126165    -5081.71789188                            
        0.92250098        1.04116478        1.24401061    -5086.88601627                            
       -0.07487899       -0.17312543        0.35480222    -5106.39057323                            
        0.61216167        0.54779254        1.02954500    -5091.13221238                            
        1.18892518        1.51972511        1.42251849    -5095.23804987                            
        1.42134151        1.56862772        1.80542489    -5066.57099148                            
        1.95467772        2.68237396        1.99655005    -5082.40354830                            
        2.26936815        3.06501704        2.26278766    -5072.33044521                            
        2.16758204        3.11382091        1.96766698    -5074.71078130                            
        2.89061321        3.96035556        2.72827634    -5079.27801856                            
        2.09319170        3.31064056        1.92019700    -5076.48766784                            
        2.27303812        3.71171524        1.90615574    -5059.24433023                            
        3.38669998        4.38207903        3.16653229    -5049.40578864                            
        3.39060183        4.14727624        3.30584822    -5026.34310272                            
        4.68512824        5.53059292        4.47286207    -5031.10900778                            
        5.75276035        7.38881334        5.09280683    -5023.87156769                            
        6.38879153        8.42529520        5.57627869    -5008.20247487                            
        5.27390411        6.66075060        4.87902399    -5011.72766389                            
        5.00739921        6.09473345        4.73094566    -5017.59939188                            
        5.47941391        7.03988241        4.96376246    -5038.31657831                            
        4.96259133        5.31201558        5.08834802    -5041.81703976                            
        5.75285551        6.33379088        5.71022826    -5032.08485717                            
        4.58092594        5.10871469        4.61596432    -5037.87085076                            
        4.22685156        4.67569885        4.33559770    -5042.39784723                            
        3.45630151        4.79933429        3.14427966    -5047.26391348                            
        1.95107390        2.95640065        1.81112661    -5048.70240062                            
        1.30995854        1.57730388        1.52205432    -5057.01890438                            
        1.60030998        1.47690491        1.97148515    -5050.13205712                            
        1.46467710        1.84022480        1.58661059    -5020.50304731                            
        0.61398331        0.65541883        0.87895421    -5040.85793359                            
        0.47546090        0.39132858        0.84240133    -5018.69436284                            
        1.46245531        1.55349263        1.71649520    -5037.10994597                            
        1.66110228        1.77277687        1.91282479    -5030.49237271                            
        1.72217816        2.21261402        1.77848444    -5020.31623252                            
        1.44604586        1.66544517        1.66199197    -5031.45775823                            
        2.31952818        2.36108051        2.63880151    -5049.74979926                            
        3.29581971        3.19764006        3.66637024    -5045.67849586                            
        3.50372794        3.69406860        3.73809599    -5050.69715871                            
        4.09497958        3.87981604        4.52266335    -5034.61456885                            
        2.96337525        3.18487630        3.12908967    -5039.27216654                            
        3.43614331        4.51985332        3.12493853    -5039.91133108                            
        3.21866032        3.98352684        3.15033104    -5058.12808403                            
        3.72708219        4.36029819        3.72660498    -5043.22135672                            
        3.52506235        3.91304919        3.60301511    -5053.94133088                            
        3.22334294        3.24269292        3.49483827    -5064.64696978                            
        2.05081437        2.05561523        2.36100270    -5059.89479965                            
        1.81631855        1.92999386        2.07273708    -5075.44277238                            
        3.61205433        6.20653502        2.41252914    -5081.57739746                            
        3.43275464        6.06446689        2.23698953    -5081.05410592                            
        1.32201670        2.06503736        1.22716347    -5069.22616158                            
        1.43399489        2.33805864        1.26336468    -5068.10343074                            
        1.44992736        2.09974869        1.42678343    -5086.32426426                            
        0.82958130        1.52552935        0.88455906    -5088.92866962                            
        1.62281366        2.61252178        1.49667176    -5091.64312202                            
        1.82536127        3.15111153        1.53977033    -5094.55797978                            
        1.30100204        2.01837944        1.31149801    -5091.35468168                            
        2.15524660        3.20510618        2.01472273    -5086.69296458                            
        2.04214734        2.45884520        2.22185481    -5104.08625690                            
        2.69184182        3.57914290        2.62876743    -5093.52531104                            
        2.54023542        3.96857834        2.27660699    -5096.87520909                            
        2.06071942        2.23176554        2.38972377    -5079.39827679                            
        1.89744650        2.07561556        2.22864309    -5065.38218810                            
        2.60114085        2.78971097        2.94425053    -5061.16997685                            
        2.06825123        2.45104695        2.30988642    -5063.88787576                            
        1.95415103        1.97616582        2.37369377    -5051.49811185                            
        1.30254418        0.93109021        1.87232494    -5023.23511202                            
        1.25296414        1.11712399        1.67579600    -5048.19348997                            
        1.13586384        1.26118663        1.44187197    -5047.55206039                            
        0.55587729        0.85148956        0.78946331    -5030.82937142                            
        1.30661694        2.35695785        1.17896155    -5017.38981825                            
        0.48743021        0.74208360        0.74332400    -5022.74454049                            
        0.58950566        1.46356173        0.56862992    -5033.81181818                            
        2.77390042        5.11075623        1.97234911    -5025.80945626                            
        2.18197350        3.33650310        1.95231823    -5033.24040504                            
        3.23735196        5.57628840        2.38209588    -5028.59878388                            
        2.75332714        5.11167084        1.86968029    -5029.39907737                            
        2.02536265        3.35252389        1.68633577    -5036.39346895                            
        2.00179340        3.76981185        1.45400432    -5027.04173491                            
        1.69052567        3.17615356        1.30276097    -5023.26263552                            
        1.82389513        2.58165101        1.82193633    -5030.06699615                            
        1.97437522        2.87253300        1.84813931    -5028.90991937                            
        2.67267061        4.11301396        2.25140009    -5020.87982030                            
        3.04978036        5.16064362        2.24368978    -5009.44197260                            
        2.22281674        3.37593001        1.97272114    -4995.45311521                            
        2.70561868        5.47606256        1.62117131    -4991.13070920                            
        1.32976141        2.57720063        1.06752623    -5006.19759460                            
        1.88364027        2.59070386        1.89935910    -5014.91042232                            
        2.96875382        3.61454072        3.00668988    -5004.39420397                            
        2.48057638        3.25409054        2.38305006    -5010.77401088                            
        1.58094648        2.88406937        1.24616163    -4994.87799480                            
        1.37769005        1.61891167        1.64556807    -5010.73402939                            
        2.00052998        2.68753759        2.02119648    -5018.15267293                            
        2.97418455        3.39875607        3.10321721    -5029.80050270                            
        3.72625487        4.94781152        3.44580571    -5033.88531899                            
        3.86608713        5.97075190        3.28042680    -5028.03457381                            
        3.32574576        5.07399234        3.00304501    -5033.15721842                            
        3.43481508        4.34058736        3.39043138    -5032.09023958                            
        2.13139975        2.30444131        2.37754676    -5019.34895503                            
        0.58758789        0.54633152        1.01692156    -5012.80431030                            
        2.52300118        3.25919996        2.57433506    -5014.20252371                            
        2.82874215        3.17821649        3.06426215    -5036.86799652                            
        2.45520089        2.58917398        2.82469744    -5052.73515081                            
        3.37151432        4.28737533        3.39595489    -5063.48898394                            
        3.40792395        5.14603687        3.08481828    -5063.72635616                            
        2.73742770        3.62069848        2.73469942    -5062.23497567                            
        4.64689714        5.69116592        4.57444589    -5039.80125866                            
        2.76396642        3.99264728        2.54029134    -5049.16981760                            
        2.26121300        3.92142620        1.92986907    -5056.23038457                            
        1.45243227        2.69604101        1.29802535    -5031.03923063                            
        1.74323376        2.86642393        1.61773069    -5035.03524472                            
        1.66809791        2.24018150        1.83336507    -5042.61159450                            
        1.44753870        2.80146374        1.28383684    -5037.92735195                            
        0.73513600        1.35710571        0.90436591    -5045.00443173                            
       -0.04983331        0.86590616        0.04236011    -5048.70695274                            
       -1.03121421       -0.19322825       -0.87036104    -5069.19360013                            
       -1.45180786       -0.93435677       -1.20849779    -5047.68364561                            
        0.50469644        2.58216598       -0.03037477    -5045.14695383                            
        0.11877732        0.95580165        0.20683629    -5037.88783693                            
        0.69172517        1.19774050        0.91575815    -5035.83919416                            
        0.96164938        1.96025494        1.00319470    -5026.40668608                            
        0.28916887        0.88703804        0.51090914    -5037.92816575                            
       -0.72711323       -0.11157911       -0.53754774    -5035.96768175                            
       -0.73178213        0.07402795       -0.64791736    -5021.45541044                            
       -0.72181996       -0.16623792       -0.50132003    -5042.14815793                            
        1.12955328        3.07359327        0.67148822    -5031.82276218                            
        0.25404211        1.23606740        0.25460504    -5027.61380709                            
        1.16279884        2.45981443        1.05370918    -5012.93333262                            
        1.84883854        4.40591222        1.28465340    -5021.90860674                            
        1.09311284        2.74201600        0.88716204    -5022.07935339                            
        1.30599223        3.98365189        0.69431645    -5044.03246125                            
        1.60160909        4.04033441        0.96841003    -5028.72340243                            
        2.56835973        5.48742974        1.63333495    -5033.23957921                            
        3.33834632        6.17077231        2.50697802    -5024.64876282                            
        2.26355163        5.03726502        1.45473943    -5021.23774744                            
        1.65459559        2.84320034        1.54805072    -5023.28284005                            
        2.53775572        4.92034707        1.95709154    -5012.19928001                            
        3.28019963        5.43895021        2.61781381    -5010.89006138                            
        3.96652918        6.94921625        2.87356676    -4997.95333297                            
        2.91837580        4.28348114        2.59533330    -4994.93979219                            
        2.56810466        3.37139014        2.63841211    -5017.50707606                            
        2.52558189        2.88079782        2.79545424    -5020.52750152                            
        1.96970695        2.63268270        2.12468480    -5026.79224226                            
        1.54551205        2.83687511        1.38467665    -5039.00135816                            
        1.01304595        2.37762547        0.76539601    -5031.00581120                            
        0.50157008        0.87989647        0.76355948    -5042.87619951                            
        1.38544240        3.22119978        1.10584197    -5032.77831028                            
        0.48947763        1.29087131        0.60291357    -5025.86880714                            
        1.21328756        2.19979581        1.28664830    -5023.99340419                            
        1.60799525        3.27631221        1.37019138    -5015.70960162                            
        1.28509155        1.69167285        1.57965301    -5031.39562424                            
        1.56746323        1.84894110        1.89666145    -5032.81699489                            
        1.90850303        3.41226709        1.61497045    -5025.03724172                            
        0.83013278        1.97404757        0.78525524    -5023.27892005                            
        1.11847857        1.84553098        1.25157995    -5018.64807538                            
        1.15929626        1.71825600        1.39448647    -5011.71112182                            
        1.77114299        2.35319300        1.99663661    -5016.37991033                            
        2.82936531        4.87648980        2.39506691    -5027.77004150                            
        1.95184188        2.32212043        2.29195477    -5036.83967276                            
        2.23910305        2.71970278        2.54017068    -5029.24914118                            
        1.61989987        2.58684820        1.66515714    -5026.78601006                            
        2.05609705        2.68438969        2.26160310    -5015.26915650                            
        3.29343013        4.32903005        3.06543571    -5031.16156722                            
        2.79360348        3.41516140        2.83749493    -5042.50356538                            
        2.45253832        3.05750783        2.50083946    -5041.48091781                            
        1.42855876        1.62471708        1.70105310    -5029.20953688                            
        1.93601135        2.04533688        2.26897448    -5028.78320688                            
        1.85947734        1.64123016        2.35014981    -5029.44747647                            
        3.31095238        4.01185162        3.35840574    -5037.43603874                            
        1.87055680        2.32779800        2.10318856    -5059.09197130                            
        2.33632917        3.52940863        2.17897865    -5057.85411707                            
        2.67209696        2.97552335        2.90653156    -5059.06478756                            
        3.54481110        3.94416776        3.68556754    -5059.33403992                            
        3.58005503        3.87793667        3.78383312    -5058.50379442                            
        2.47761451        2.23789237        3.02555121    -5040.89817110                            
        2.72678818        2.63084470        3.17894447    -5035.11371622                            
        3.03184665        3.17563187        3.37652170    -5020.91762437                            
        3.52532807        3.79313571        3.80806090    -5024.63330877                            
        2.23645899        2.90310900        2.31373400    -5039.28073215                            
        1.07515836        0.93002915        1.55872709    -5050.20339698                            
        2.40108356        2.78907477        2.53541095    -5040.71734448                            
        2.12364543        2.31481743        2.38096297    -5043.96437178                            
        2.43243444        3.23328823        2.42874544    -5030.87972653                            
        2.04157443        2.93953043        2.05766861    -5040.79677992                            
        2.32622954        2.95315088        2.46937841    -5026.56076715                            
        2.69833831        4.85349001        2.16917166    -5017.05148609                            
        3.89782762        7.12792176        2.70349738    -5012.01732662                            
        2.71257581        3.89427121        2.51557691    -5036.77371783                            
        2.49602434        3.90447484        2.21189775    -5021.06119713                            
        1.08121256        3.01732935        0.59075142    -5043.96571132                            
        0.06265247        0.99954169        0.06765581    -5048.71722606                            
        2.59077492        3.73096347        2.57874990    -5082.10489006                            
        2.89478769        3.83968590        2.97159299    -5072.11845025                            
        2.55087036        2.78699124        2.92569473    -5042.63087734                            
        1.46898217        1.17011762        2.04516843    -5047.37660345                            
        2.54713157        2.87790568        2.74195526    -5068.45070500                            
        1.71399280        1.93062976        2.00880893    -5064.90825780                            
        2.96982905        2.52930106        3.61544710    -5042.49039399                            
        1.27374270        1.27165884        1.73609895    -5063.50099366                            
       -0.14983708       -0.53702444        0.45235182    -5082.60696784                            
       -0.46417198       -0.41611533       -0.08218398    -5068.79740769                            
