        L = 0.60          L = 0.55          L = 0.65     Etotal @ L = 0.00
        1.29399572        1.96360995        1.46704813    -4986.77357622                            
        1.64052880        1.73881992        1.97708140    -4988.44152953                            
        1.17900345        1.19176819        1.59872290    -4977.63520873                            
        1.53403487        1.62736930        1.94615170    -4979.14545993                            
        1.72069128        3.06318548        1.76467667    -4983.54398179                            
        1.43675010        1.43252640        1.90585470    -4987.64976086                            
        2.48496386        2.67575477        2.85077430    -4995.02306275                            
        2.51068090        2.78998634        2.88304011    -5008.12589474                            
        1.90072658        2.15798498        2.26852428    -5036.95983826                            
        1.83346156        2.08297283        2.21273587    -5024.32863281                            
        2.69044190        3.59430954        2.88116471    -5042.85497696                            
        2.90233120        4.15678436        2.90209410    -5041.99055629                            
        3.33972350        3.89553868        3.59374015    -5037.19182960                            
        3.26316483        3.82229404        3.53866788    -5036.10145756                            
        3.09344745        3.29970806        3.47025601    -5023.76038182                            
        3.28324912        4.02700203        3.50818719    -5023.16959419                            
        2.86170538        2.84557386        3.28933268    -5001.85733523                            
        2.92282388        2.85551732        3.37078241    -5012.38778073                            
        4.16831615        4.60281176        4.48182541    -4993.58296349                            
        4.41456893        6.26248544        4.32283096    -5019.63365437                            
        4.01678053        4.04028097        4.43181198    -5022.00657436                            
        3.57064781        4.86306718        3.60319558    -5024.47383308                            
        2.74527082        3.13586428        3.03133824    -5027.77004545                            
        3.52562498        4.57983068        3.63022533    -5010.98340740                            
        3.98869095        4.32164316        4.30952162    -5019.94811187                            
        4.80261959        4.42026333        5.24919960    -5034.02153871                            
        4.52502835        4.00008921        4.97144929    -5038.49771929                            
        3.39303179        3.03287732        3.79833873    -5021.14486105                            
        4.50785201        4.86080303        4.70866521    -5006.06995710                            
        4.20978421        4.06213478        4.59498185    -5000.65084078                            
        3.34257250        3.01278920        3.78166067    -5005.13373131                            
        3.46361380        2.95127718        3.96600970    -4997.04707018                            
        3.95034124        3.49671493        4.46158426    -5001.77225030                            
        3.60853340        3.27728442        4.05193142    -4984.85196472                            
        4.17139466        4.11873762        4.53444773    -4993.03168936                            
        3.94419329        3.70300023        4.35625672    -4999.77481789                            
        3.52937553        3.32690293        3.96696087    -5005.25174002                            
        3.19874273        2.76992865        3.69414360    -5005.11749178                            
        3.22395678        2.76092851        3.72524978    -5001.76670783                            
        3.46321623        3.00151973        3.96208933    -5018.73296767                            
        3.29606476        2.99845846        3.76606573    -5012.36472123                            
        3.96521018        3.90845816        4.38340350    -5009.32542751                            
        4.03881010        3.69770056        4.51682388    -4998.70031872                            
        3.96797590        4.29315751        4.27320018    -5007.71226421                            
        3.85063542        4.78701043        3.97154483    -4986.67058732                            
        2.94783951        3.15628923        3.28334708    -4970.96302316                            
        2.60998257        2.26930603        3.07385874    -4984.60005315                            
        4.93770353        4.90585663        5.34364274    -4993.18859966                            
        3.85894846        3.38150168        4.33697839    -4965.29497095                            
        4.03541905        3.79252028        4.47885041    -4961.40811379                            
        3.02103360        2.59734400        3.53763703    -4966.10730872                            
        2.47793747        2.10698560        2.98848587    -4988.54081184                            
        2.83154923        2.50114669        3.34391094    -5000.38061519                            
        2.87353619        2.31891415        3.40456484    -4989.67059531                            
        2.25674275        1.69616381        2.75015855    -4984.94004758                            
        2.31012152        1.73890726        2.79578243    -4978.69186434                            
        2.40613293        2.01553107        2.88545716    -4987.22263282                            
        3.33738916        4.44614159        3.34374245    -4965.45542460                            
        2.42128931        2.44845711        2.77084541    -4984.53218313                            
        2.56830927        2.69731434        2.84449556    -4990.55453891                            
        2.14975691        1.91083696        2.55549418    -4958.04193219                            
        1.98053893        2.87769075        2.01012842    -4947.19191234                            
        1.56258895        2.32216397        1.64516146    -4964.00193897                            
        1.50694360        2.18966228        1.69053237    -4964.62706268                            
        1.12230006        1.12416678        1.51537853    -4948.27850537                            
        1.05595990        1.03305966        1.44419208    -4944.73252871                            
        0.74010181        0.73077520        1.13074728    -4946.51358459                            
        0.82648137        1.30191396        1.05304855    -4956.10056501                            
        2.39723063        3.10209515        2.49616452    -4964.02556366                            
        1.85924116        2.45759946        1.98640366    -4973.39932643                            
        1.11659910        1.70667105        1.26376019    -4978.77569564                            
        0.79389801        1.38384285        0.95934132    -4974.85907442                            
        0.06216093        0.67050304        0.25932604    -4967.25289872                            
        0.32958772        1.75969345        0.21894031    -4956.23391548                            
        0.25572510        1.41854483        0.26786278    -4950.24566744                            
        0.08609130        1.01696648        0.19009360    -4958.01234327                            
        1.01012871        2.02621052        0.99941919    -4959.57359562                            
        2.04349494        5.27090159        1.09483696    -4963.99131622                            
        1.01035446        2.68621439        0.85646687    -4967.90357367                            
        2.53528657        3.62016540        2.52250690    -4979.72274631                            
        3.99639521        5.85324471        3.71163608    -4977.47190951                            
        3.68142600        5.20181212        3.51193205    -4969.73475250                            
        4.35302194        4.84094014        4.60698633    -4976.38818339                            
        4.57840038        6.41249308        4.23552730    -4975.72795426                            
        5.38828932        6.29931629        5.41269148    -4987.03347496                            
        7.82053393       13.26616033        5.78990759    -5017.89347329                            
        4.64233666        5.89662566        4.48722791    -4989.21301223                            
        5.49109442        7.36176479        5.06237234    -4972.12144658                            
        6.57838771        9.60648031        5.66865370    -4952.60146869                            
        7.60605560       12.47553789        5.72358305    -4965.00299905                            
        4.47536812        6.73819630        3.84551556    -4951.73842172                            
        4.62319933        6.27463633        4.30329838    -4927.34813542                            
        6.45518611        7.52524259        6.41664442    -4930.12630936                            
        6.63018018        6.80913907        6.95252611    -4930.50844598                            
        6.67861003        7.39752192        6.81219659    -4962.17508244                            
        5.08185571        5.87556246        5.22275003    -4966.99557321                            
        5.76895378        7.15522978        5.58685193    -4951.96560160                            
        5.12075567        6.20273764        5.02576582    -4962.44991698                            
        4.52519942        6.49644569        4.09211544    -4961.36372418                            
        5.20073569        8.06056365        4.31623044    -4965.89414691                            
        4.68173238        7.53429207        3.79215635    -4969.33414092                            
        5.63732043        7.88231157        4.99744237    -4980.47783117                            
        4.78927799        6.89088121        4.24693604    -4980.64776259                            
        5.06118627        5.88864889        5.06037983    -4970.51698401                            
        5.20472349        5.48020646        5.37088343    -4976.55810161                            
        5.61946993        6.21731808        5.62497437    -4982.55244324                            
        6.08708954        6.76309302        6.06969360    -4976.86007197                            
        5.97719115        7.17895364        5.72656601    -4969.94925155                            
        5.45383544        6.16545199        5.42412706    -4966.21107858                            
        4.35215336        4.91601589        4.41931967    -4961.68433119                            
        4.01940092        4.81350885        4.02931881    -4948.80524343                            
        4.01891772        4.99181846        3.98053341    -4969.05302761                            
        3.07279541        3.23909589        3.35614633    -4973.70907977                            
        4.52713019        5.06076619        4.65811598    -4970.72832042                            
        5.23354251        6.11485737        5.18342770    -4961.33058663                            
        5.74608170        6.68353619        5.70337836    -4959.53063805                            
        6.82107262        8.92132359        6.22134096    -4960.61563491                            
        7.40466151        8.45949990        7.30705182    -4964.39354028                            
        5.66035590        5.99208231        5.88006363    -4955.69572104                            
        5.19698549        6.09316033        5.19375391    -4969.32219734                            
        5.07680185        6.15800960        4.99092159    -4968.67436249                            
        5.52526921        8.15566164        5.04476740    -4958.11556230                            
        5.68227750        6.87868531        5.61465223    -4970.04914996                            
        6.08456635        7.48202343        5.86207156    -4960.11166495                            
        4.66434150        5.01187588        4.90875524    -4962.50942614                            
        6.19683269        6.46314097        6.41273667    -4965.37813022                            
        5.48786078        7.33685781        4.95554689    -5007.94627082                            
        4.94342716        4.80833418        5.35674598    -5009.49605587                            
        4.74287504        5.05521236        4.97656121    -5014.88083102                            
        5.05368859        5.45550669        5.25423959    -5017.38269603                            
        5.82922899        7.65596166        5.55580865    -5039.20354532                            
        5.70648503        6.73392143        5.70728857    -5033.01599963                            
        5.70909213        6.90370652        5.58631397    -5032.10109509                            
        4.90462848        6.12148716        4.88978588    -5027.22472777                            
        6.42096426        7.37487795        6.38823942    -5031.35393935                            
        5.75406982        6.32466641        5.89623382    -5032.22721438                            
        5.95870483        7.15003083        5.91033579    -5025.58042957                            
        5.86584744        7.52003238        5.61603955    -5053.57505986                            
        5.26702783        5.94565996        5.34515250    -5055.04542336                            
        6.03358415        7.50333534        5.74434353    -5054.43246711                            
        5.00831725        6.41383036        4.77584730    -5048.75619320                            
        5.22633665        6.29316807        5.09149605    -5033.87809883                            
        4.80938798        5.10414725        5.01024030    -5019.48927540                            
