        L = 0.10          L = 0.05          L = 0.15     Etotal @ L = 0.00
       -1.40698487        0.08223869       -1.66186929    -5032.35253112                            
       -1.08870978       -0.00735529       -1.13054835    -5031.17933303                            
       -0.50631780        1.19534449       -0.85187509    -5020.74954929                            
        1.27890632        4.53330134        0.12749268    -5048.50399337                            
        0.55269535        3.64813466       -0.48122470    -5041.66634513                            
        1.53072157        4.58050840        0.53869519    -5022.89604686                            
       -0.00951305        2.19365118       -0.68676483    -5033.78786116                            
       -0.66737854        2.09650997       -1.58412390    -5051.89596282                            
       -0.58593236        2.89811558       -1.65947647    -5033.95643654                            
       -0.51620513        0.87169056       -0.69745780    -5054.30193852                            
        1.34134905        4.02708090        0.37784321    -5037.35240378                            
        0.09579184        1.32378267       -0.01803271    -5035.28072107                            
        1.00592023        3.97305211        0.07658480    -5037.79255496                            
       -0.32400804        0.63258121       -0.26878938    -5050.28485987                            
       -1.41928321       -0.80030255       -1.21272872    -5053.04133004                            
       -0.63214922        0.09503140       -0.48394482    -5063.53683553                            
       -1.25026361       -1.30184552       -0.68132182    -5063.90681708                            
       -0.18729554       -0.27644556        0.37455166    -5056.93830633                            
        1.05091971        0.88853758        1.65418861    -5067.65582232                            
        0.94362863        0.47865651        1.70734955    -5069.42980844                            
        1.65157188        1.05408515        2.48415430    -5061.30798469                            
        3.65549344        3.02710608        4.49164417    -5056.78575284                            
        4.03435144        3.32751302        4.88323878    -5054.39097124                            
        5.24425456        4.92312371        5.84610303    -5052.96044359                            
        3.81666170        3.49959258        4.39784061    -5046.35731532                            
        4.74057519        4.83735856        5.07973425    -5042.65663551                            
        4.84338488        4.72230386        5.34482250    -5034.31168916                            
        3.23685852        2.74155801        3.99683452    -5023.95961908                            
        2.01747367        1.39603818        2.83337435    -5039.25575502                            
        1.50828547        0.98166468        2.29850712    -5040.03850965                            
        0.24592530       -0.15692501        0.96437007    -5040.14923791                            
        0.68615773        0.52204461        1.26831338    -5034.91057170                            
        0.54142648        0.96732998        0.81696264    -5047.60630502                            
       -0.20555530       -0.21211288        0.28539296    -5046.25001025                            
        0.05499604        0.07290970        0.53366540    -5029.39634250                            
        0.92282017        1.21563587        1.23835834    -5041.47420803                            
        2.67253693        4.53424621        2.14353529    -5040.70048883                            
        4.11135499        7.91936952        2.66490859    -5050.36438825                            
        3.52274128        5.20172537        3.08420650    -5024.67689613                            
        4.23443096        6.97554977        3.20250886    -5029.35506661                            
        2.69172850        3.60001364        2.66051553    -5027.90415304                            
        1.65605842        1.85659139        2.05352476    -5027.89042223                            
        2.09329726        2.61018139        2.27364874    -5020.37640297                            
        0.71197656        0.82688698        1.11776457    -5023.28029466                            
        0.16151458       -0.03858714        0.76107678    -5037.73782321                            
       -1.10221434       -1.45422837       -0.40827046    -5035.84747842                            
       -1.41071241       -1.88268785       -0.62669132    -5047.91060409                            
       -0.58226671       -0.79588392        0.07482827    -5043.69575927                            
       -1.52783153       -1.83804598       -0.83903987    -5060.81506625                            
       -1.48180973       -1.87388396       -0.74478301    -5069.38767136                            
       -1.75984247       -2.14100834       -1.06154496    -5059.58896654                            
       -1.69776627       -2.10910996       -0.95662872    -5062.77529251                            
       -0.25595955       -0.13867142        0.17827234    -5049.10365882                            
       -1.93089716       -2.18048706       -1.29693015    -5046.67008400                            
       -1.21022481       -1.63510761       -0.49576841    -5059.89364335                            
       -0.60827689       -0.68417399       -0.10936837    -5062.05723553                            
       -0.28786578       -0.60582549        0.35784921    -5059.56894785                            
        0.96397485        1.64008994        1.07016547    -5059.84967647                            
       -0.18403536        0.30874855        0.05991541    -5053.87261187                            
       -0.35075091        0.35187223       -0.15517204    -5046.24522796                            
