        L = 0.55          L = 0.50          L = 0.60     Etotal @ L = 0.00
        6.62877502        6.30993370        6.96138322    -5002.52759622                            
        7.37880659        7.16408333        7.65577210    -4979.98856878                            
        6.88782492        6.71508836        7.19691964    -4993.19287400                            
        6.47136031        6.55162740        6.76925051    -4984.85001067                            
        5.53911427        5.84306657        5.78255973    -4995.54419960                            
        5.97841686        7.94850059        5.73830796    -5010.70041042                            
        6.96251369       10.30335173        6.28134139    -4990.17299438                            
        6.34096474        8.45130801        5.96295213    -4973.78362757                            
        6.62707207        7.48488165        6.61777463    -4977.48755854                            
        6.36800743        6.50620819        6.65651747    -4991.85724288                            
        6.65378553        6.75903396        6.96148235    -5005.13155188                            
        6.07504100        6.78681611        6.18795359    -5000.25291334                            
        5.54778072        6.66981501        5.51832099    -5002.43401586                            
        5.59802782        5.59466225        5.93446221    -4994.84986715                            
        4.85300589        5.57409103        4.93375790    -4985.97215281                            
        5.47130391        6.02404481        5.59494110    -4992.05330040                            
        4.37295576        4.33937884        4.66864504    -4980.27834494                            
        4.12094007        4.12773135        4.39614365    -4977.25574866                            
        4.69973821        5.08354311        4.83184156    -4987.81820179                            
        5.17854943        4.97238597        5.50507901    -4972.43185269                            
        5.14695314        4.99130962        5.46131781    -4985.56022766                            
        6.48446285        6.47623023        6.70377358    -4996.51787317                            
        5.98745810        5.66939328        6.32448851    -4998.94812044                            
        5.30074886        4.91705950        5.67131035    -4988.35260617                            
        5.85695648        5.66133138        6.16627966    -4969.99298432                            
        6.86887660        6.70876888        7.13644778    -4959.80197351                            
        7.25348119        7.09678356        7.52289033    -4961.54857078                            
        6.66392041        6.51966862        6.93593433    -4968.15461367                            
        6.65779882        6.67004057        6.90571533    -4980.02624362                            
        7.23883387        7.02324047        7.57503418    -4968.97858436                            
        7.51499376        7.14427861        7.86927322    -4970.57416515                            
        8.65443090        8.22823771        9.03508446    -4975.96443623                            
        6.49313266        6.07685534        6.90074744    -4982.73074313                            
        6.79546990        6.89411755        7.03232086    -4965.23426674                            
        7.02301204        9.09755977        6.55803958    -4950.95231073                            
        5.84351721        6.45018646        5.89848112    -4960.61116919                            
        6.16133632        5.86494896        6.50871760    -4964.55852900                            
        6.11376907        7.12621783        6.00942953    -4987.95014445                            
        6.90235347       10.25577032        5.89470410    -4972.96162292                            
        8.23588037       10.10748118        7.85806043    -4962.98270251                            
        7.71219871        9.14005120        7.47137835    -4977.80447980                            
        6.02547367        6.86224270        6.02366980    -4967.20086666                            
        5.78072738        6.06758783        5.96204517    -4973.02841861                            
        4.78551308        5.41803547        4.81038719    -4965.59508879                            
        3.38866815        4.42312765        3.23141612    -4953.17090586                            
        3.12923842        4.35879710        2.92733776    -4972.98448517                            
        2.04645034        2.24035837        2.24367223    -4960.12501910                            
