        L = 0.35          L = 0.30          L = 0.40     Etotal @ L = 0.00
        3.97070908        5.63969162        3.72530943    -4927.03065629                            
        3.24928380        5.02563733        2.94080288    -4944.81169156                            
        3.41610445        6.41490187        2.51767843    -4968.24656585                            
        1.91883237        3.43632346        1.66837489    -4986.98095755                            
        2.85624667        4.32677547        2.62731420    -4983.27526021                            
        2.61536620        4.01578723        2.34877195    -5002.16910176                            
        4.21815849        6.08242340        3.73967562    -5018.96221266                            
        2.06207540        2.68732575        2.22188397    -5016.88119149                            
        1.77050028        2.95805924        1.66528474    -5005.56802052                            
        3.66078282        6.52219786        2.77127198    -5008.69348147                            
        3.24191266        5.14918471        2.72363571    -5029.71545622                            
        0.85438848        2.00900643        0.80904244    -5023.70852023                            
        0.33366355        1.17955924        0.45363791    -5012.86746100                            
        1.61907473        5.13673609        0.22597363    -5011.38174384                            
        0.32238657        2.81219245       -0.34042902    -5010.21738241                            
       -0.32072235        1.44363709       -0.65736146    -5000.63138262                            
       -0.80176365       -0.08902179       -0.63994648    -4992.57377464                            
       -0.80548637        0.39853374       -0.88572626    -4978.64802326                            
       -1.86470545       -0.95467235       -1.75811286    -4984.08757214                            
       -1.41522382       -0.66580346       -1.20116146    -4989.60919729                            
       -0.62580311        0.99074101       -0.85223127    -5002.78551882                            
       -1.45191050       -0.61746823       -1.33770427    -5017.23432906                            
        0.06902712        1.32050153        0.01476922    -5012.49369506                            
        0.30159572        2.03498441        0.04473343    -5006.29483976                            
        0.75525535        3.21334586        0.15448104    -4985.18032089                            
        0.37641851        2.46892829       -0.16245892    -4972.45894427                            
        0.26983578        1.91213387        0.01931640    -4990.98483600                            
        1.69334658        4.05941619        1.01447334    -4989.41718353                            
        0.67252507        4.20586506       -0.44933355    -5002.36002339                            
        1.70123304        6.32027172       -0.06792107    -4995.97137176                            
        1.12243610        4.98353990       -0.45516209    -4998.75707743                            
       -1.46160822        0.71384394       -1.99257326    -4996.89994000                            
       -1.29592917        1.04959453       -1.84070988    -4992.05883418                            
        0.36864200        3.29611945       -0.51363763    -4984.39615565                            
       -0.03024833        2.51459151       -0.85625838    -4977.95923971                            
        0.03496049        3.22697190       -1.09682373    -4964.85798578                            
       -0.64865882        0.85292448       -0.90431493    -4972.82525985                            
       -0.86144932        1.35852530       -1.46072862    -4977.71329191                            
       -0.31957307        2.22605094       -1.03288731    -5003.59902023                            
       -0.58017364        1.42279389       -1.08270497    -4996.21823141                            
        0.46813244        3.36663017       -0.47172986    -4988.77697923                            
        0.13392453        2.79447995       -0.67244471    -4988.57024541                            
        0.75139146        4.00519806       -0.28086819    -4984.56069422                            
        1.59502136        5.01455453        0.44983474    -4998.44234529                            
        0.96074820        3.68530147        0.11157149    -4991.98625220                            
        1.49757504        5.07635677        0.21124930    -4986.63903406                            
        1.33713011        4.60447276        0.26128138    -4977.66730439                            
        1.80441784        4.73191646        0.82023573    -4980.54584800                            
        2.64912642        6.55358040        1.23807394    -4983.39596857                            
        2.15628515        4.75322425        1.46445488    -4992.26668126                            
        3.60121738        7.75928682        2.21188085    -4992.75035632                            
        3.23460193        6.57233959        2.12478563    -4967.94296663                            
        3.90811874        7.90642230        2.46389085    -4988.66871711                            
        3.91873763        7.48194624        2.70421147    -4992.31333427                            
        3.40990646        5.36764040        2.98891890    -4990.46780071                            
        3.30500973        5.69434433        2.65691752    -4975.39881943                            
        2.28191074        4.59848011        1.70358260    -4982.99028781                            
        2.12566835        4.97287099        1.30657478    -4987.66191233                            
        2.53502758        6.95574319        1.01973037    -4977.77490244                            
        1.98513571        4.52602177        1.32326983    -4960.99688015                            
        1.61912696        3.81546032        1.09099506    -4969.03021269                            
       -0.13643495        0.86897464       -0.04610782    -4979.82613357                            
