        L = 0.70          L = 0.65          L = 0.75     Etotal @ L = 0.00
        6.24919199        7.98846353        6.26052020    -5047.99272100                            
        6.34753129        7.04174378        6.57024621    -5027.35883163                            
        5.16661190        6.93113992        5.19583799    -5025.55820821                            
        5.86119193        6.24617908        6.15736317    -5031.76044281                            
        5.28724469        6.53658127        5.40944322    -5035.86624300                            
        4.73277591        6.11747284        4.79190495    -5037.81983897                            
        4.76459164        5.97807784        4.86802475    -5020.13595229                            
        4.47536847        5.49555911        4.54201979    -5027.82720617                            
        5.02517640        5.84632130        5.19090624    -5037.25176367                            
        5.86458466        7.22410574        5.72839421    -5042.97015385                            
        7.64998846       10.06272555        7.32115222    -5047.58665385                            
        7.29893863        9.56447805        7.19607267    -5057.68694501                            
        7.97314031       10.98487369        7.68265174    -5068.74619906                            
        6.96412883        7.58563457        7.14892393    -5052.47116355                            
        6.10465936        6.77765423        6.26878340    -5049.04329073                            
        7.20884294        7.99563922        7.28083273    -5033.56792309                            
        7.31118212        8.62068715        7.20929615    -5035.26333962                            
        6.33483148        7.71063258        6.23252912    -5046.59257920                            
        6.55172544        8.93698257        6.22934838    -5047.55132098                            
        5.42399780        6.19120706        5.45457241    -5033.96820697                            
        5.46229120        8.70905709        4.83327846    -5039.62676072                            
        5.26573160        7.90157992        4.90106951    -5022.52504332                            
        5.12731089        9.54412331        4.46478348    -5055.73638272                            
        4.86226469        7.33903597        4.51964075    -5056.29839727                            
        4.44096701        4.48363439        4.66347504    -5067.90020077                            
        4.46770268        4.30304682        4.65053062    -5072.32388358                            
        4.17906857        3.95373947        4.42758687    -5061.90745109                            
        4.56490048        4.25529000        4.76349703    -5052.25553565                            
        3.01009170        2.67735449        3.24713567    -5054.19408187                            
        3.77224768        3.51901948        3.95870713    -5066.74818244                            
        3.99310924        3.68627768        4.18875668    -5056.72321469                            
        3.21139325        2.93425197        3.43074402    -5059.94983705                            
        3.44652158        3.51870460        3.59975265    -5079.89512727                            
        3.43192934        3.36946940        3.56402313    -5084.28572478                            
        4.07965226        4.11844148        4.16693798    -5083.40781333                            
        4.74392403        4.58943633        4.82960355    -5088.25158507                            
