        L = 0.80          L = 0.75          L = 0.85     Etotal @ L = 0.00
        5.47740301        8.72798335        4.99160308    -5007.98998597                            
        4.08565635        5.08552544        3.93230629    -5032.45455885                            
        4.05574689        4.02237509        3.99281802    -5036.38725277                            
        3.96241886        3.91330448        3.93329996    -5044.92821681                            
        3.81940904        3.72440898        3.84630067    -5029.46634343                            
        5.20370877        5.19297812        5.10593859    -5021.62816244                            
        5.66859592        5.67112609        5.55520416    -5039.76014765                            
        5.53249192        5.54496131        5.47883912    -5045.95493521                            
        4.98840176        6.54288238        4.85629878    -5043.26104867                            
        4.19263504        4.84696440        4.19074067    -5036.15730465                            
        5.01538236        5.30269123        5.04009068    -5051.33117708                            
        5.35076721        5.58580424        5.31706731    -5027.67458208                            
        5.43157711        5.80491490        5.39114075    -5034.77735509                            
        5.38961890        5.33114497        5.41076704    -5032.13501247                            
        5.94213242        5.86006582        5.94061282    -5007.14238381                            
        5.56926489        5.50810290        5.55783278    -5009.56925248                            
        7.06838766        7.11653972        6.94473180    -5006.36913636                            
        8.20956831        8.28555347        8.06940227    -4997.41135010                            
        8.35824950        8.40647319        8.23981340    -5002.58902491                            
        7.69426865        7.96981550        7.63117777    -5002.14510957                            
        8.16984612        8.12239416        8.14434234    -5012.00707761                            
        8.65201765        8.57760799        8.62738919    -5013.91235134                            
        8.31708023        8.48723423        8.35305824    -5021.85073174                            
        8.97170730        8.97940799        9.01191474    -5017.24554743                            
        8.04851827        8.13966013        8.00494119    -5033.84971903                            
        9.21105306        9.73177085        9.17885331    -5043.50478035                            
        9.51748150        9.90122011        9.47119887    -5040.70580007                            
        9.34215886       12.01167221        8.93798394    -5052.52990087                            
        6.85296670        7.04884611        6.81944451    -5048.52255996                            
        5.97862912        6.45869833        5.91786290    -5036.48550765                            
        6.10091544        6.01441068        6.11351802    -5056.87207559                            
        4.34060150        4.21630017        4.38309543    -5036.42361051                            
        5.06329697        4.89428506        5.15334334    -5021.78170397                            
        5.41253260        5.22239474        5.53479988    -5027.29407274                            
        6.33296032        6.17236597        6.39490222    -5034.28282815                            
        7.56373728        7.37141113        7.64783738    -5036.70364371                            
        8.53399939        8.41293386        8.54678383    -5034.51889190                            
        9.77296162        9.71243391        9.72910952    -5028.05881667                            
        9.85745223        9.72882319        9.87485671    -5023.13719747                            
        9.50428448        9.37270432        9.52351817    -5014.15544203                            
        9.49062120        9.36849096        9.51258103    -4995.96582311                            
        8.23127464        8.11243597        8.35258028    -4990.32462322                            
        8.97257636        8.85682350        9.06163796    -4966.85651150                            
        8.37811343        8.29519838        8.44542853    -4960.55205834                            
        9.79217922        9.77439114        9.79717765    -4956.21458555                            
       11.17643511       11.15730785       11.15359643    -4968.17530827                            
       10.55933353       10.52189038       10.50267805    -4986.21810049                            
       10.67998522       10.65735233       10.63588515    -4988.84298675                            
        9.58608060        9.59006306        9.49428307    -5011.53497222                            
        8.58052378        8.90861724        8.50487608    -4998.35464576                            
        8.48390133        8.80148432        8.42861593    -5000.90251761                            
        8.82224322        8.88316450        8.78867570    -4991.02980813                            
