        L = 0.85          L = 0.80          L = 0.90     Etotal @ L = 0.00
        3.06769926        2.96180959        3.03194533    -5005.50728301                            
        4.72368824        4.71049153        4.61055928    -5007.83147749                            
        3.85713215        3.82730607        3.76381581    -5016.34196096                            
        4.39598706        4.35387520        4.31825251    -5004.51117504                            
        3.60795125        3.57832332        3.52048922    -4996.11787137                            
        3.35845907        3.30442023        3.29456483    -5015.78044014                            
        3.84425067        3.80579373        3.76423347    -5022.21377757                            
        3.69165860        3.62126825        3.64036469    -5047.46199599                            
        3.93101323        3.87447358        3.92002016    -5043.49868520                            
        4.48581153        4.46412195        4.38153439    -5044.02164560                            
        4.43568185        4.41765656        4.34258397    -5046.09907553                            
        5.05058947        5.06667332        4.91436342    -5043.12724257                            
        4.53092448        4.59550522        4.46409747    -5037.84742722                            
        4.01480346        4.30617223        3.95194115    -5025.85297396                            
        3.46729198        3.62936024        3.37803557    -5031.72374159                            
        4.31995325        6.43754081        4.13746805    -5030.57729964                            
        4.46929944        4.92575125        4.36843515    -5014.44784912                            
        3.61001371        3.75012886        3.52162114    -5012.42915511                            
        4.36792409        5.42566977        4.16829322    -5018.87640479                            
        3.61502790        5.77739962        3.38978192    -5035.68862051                            
        3.88378678        4.84351986        3.74328506    -5039.40884032                            
        4.43895234        5.25382224        4.25532159    -5049.24998453                            
        4.30925426        5.74471676        4.11643244    -5048.40351624                            
        3.81379894        4.42782012        3.69729801    -5040.91815088                            
        3.63412816        3.81172203        3.55335813    -5030.18407185                            
        3.36598306        4.65468636        3.22727605    -5038.96632905                            
        4.58267783        4.96790613        4.54582610    -5030.99558537                            
        5.36995384        6.01239291        5.24348585    -5026.77878393                            
        5.05338367        5.12939014        4.93133623    -5017.07002847                            
        3.54069007        3.48053205        3.48746209    -5019.06381543                            
        3.02431436        2.95391722        2.98669844    -5022.78369575                            
        3.03137532        2.99625279        2.91531009    -5010.57413587                            
        3.20562647        3.13044944        3.13223294    -5006.75181884                            
        3.14389400        3.09143107        3.04955219    -5027.46529030                            
        3.18774674        3.07984327        3.14358531    -5033.43627971                            
        2.98618164        2.93964132        2.89888125    -5012.36226302                            
        2.85878373        2.83989687        2.77684373    -5010.99132867                            
        2.54793210        2.47834320        2.49298973    -5012.74778392                            
        2.58170133        2.48577996        2.52617845    -5017.37802439                            
        1.66348781        1.58873805        1.58004896    -5037.22900712                            
        2.87188046        2.84919512        2.74476993    -5049.99935984                            
        2.32369444        2.31179206        2.19719441    -5056.66726298                            
        2.34432868        2.34893207        2.20408192    -5048.15892821                            
        2.10844883        2.11838440        1.97157538    -5057.92677248                            
        1.84888407        1.84685665        1.76413927    -5048.27048020                            
        2.11009939        2.05038268        2.04240576    -5061.62316198                            
        2.49430784        2.69325609        2.40970765    -5034.25400744                            
        2.60809915        2.60419053        2.50348766    -5052.25189935                            
        3.29299995        3.55834540        3.20726544    -5050.54781107                            
        3.36514468        3.61225074        3.31223485    -5023.20685509                            
        3.54834292        3.72243455        3.53068433    -5045.09306448                            
        3.34378053        3.27120851        3.32099532    -5032.96054361                            
        2.88945634        2.81840218        2.85023999    -5024.66526437                            
        2.86997194        2.82302829        2.81186044    -5007.55979198                            
        2.76740034        2.73751711        2.69719199    -5008.16871948                            
        2.87161796        2.86548371        2.77306631    -4984.62376349                            
        3.63083603        3.70437169        3.46031344    -4985.12907260                            
        4.87533912        4.99708788        4.65564114    -4975.89244837                            
        4.73250503        4.81916488        4.54531633    -4991.91653217                            
        6.47540984        6.57593362        6.27122206    -5007.16507745                            
        6.56322914        6.62018011        6.38656459    -5010.46468913                            
        6.22602143        6.31374425        6.02576505    -4999.28298479                            
        5.78348603        5.85260306        5.60312397    -5032.24267457                            
        7.25148003        7.33224141        7.05000258    -5024.29632422                            
        6.83793628        6.92575217        6.63578353    -5023.45930929                            
        5.36770480        5.44041994        5.19469504    -5024.14469450                            
        4.96185099        5.02537288        4.80495398    -5035.63234328                            
        5.32947480        5.40725840        5.15798772    -5039.19300291                            
        4.77442722        4.86364044        4.59095028    -5042.81531544                            
        4.68880351        4.74240140        4.53436337    -5035.10351555                            
        4.76785071        4.80444331        4.62533672    -5023.82009216                            
        3.75832369        3.74324933        3.65782204    -5033.01874474                            
        5.11666310        5.06442288        5.03380409    -5023.97374400                            
        5.19057944        5.12112918        5.10871780    -5008.42757729                            
        6.83632760        6.77809397        6.76396730    -4999.46143675                            
        8.01652360        7.98551904        7.93776527    -4991.96176657                            
        7.47761711        7.69425108        7.41227546    -4995.19869627                            
        7.44784912        7.98354031        7.36689521    -5021.38750686                            
        5.60167310        7.24525189        5.45771302    -5036.00638292                            
        5.20473796        6.50112917        5.04865492    -5039.39468569                            
        5.28587771        5.37412528        5.16036460    -5032.61909771                            
        4.66062537        5.26543271        4.56217099    -5029.90043178                            
        4.42624178        7.28394244        4.25378513    -5000.36184863                            
        4.49960014        6.00354502        4.39565288    -5021.94494460                            
        5.36093554        5.67200245        5.27877389    -5017.55437781                            
        6.42014559        6.86159002        6.31427165    -5004.81989354                            
        6.06036601        6.19664921        5.96027482    -4987.24945879                            
        6.54120946        7.64154315        6.42051565    -4973.23749324                            
        5.68736693        9.41340770        5.45948601    -4978.43794013                            
        4.89462630        4.96465787        4.81475126    -4979.40578490                            
        6.14237042        6.12819217        6.04913231    -4980.22842449                            
        6.85688027        7.08650059        6.75964686    -4990.12353389                            
        7.09044109        7.06960121        6.98882849    -4988.68099307                            
        6.09095876        6.04749721        6.01263746    -5010.33570991                            
        6.88010026        6.86410262        6.77991676    -5002.27063370                            
        6.81306129        6.79463478        6.69841623    -5037.56331973                            
        6.36464650        6.35623335        6.24350382    -5036.14664237                            
