        L = 0.00          L = 0.00          L = 0.05     Etotal @ L = 0.00
       -3.26159476       -3.26159476       -3.56442970    -4972.75616341                            
       -4.45238655       -4.45238655       -4.36447665    -4986.76173010                            
       -3.92963897       -3.92963897       -4.47076849    -4983.67419519                            
       -3.76082041       -3.76082041       -4.01364726    -4993.19278249                            
       -2.85526450       -2.85526450       -3.05673035    -4997.17713464                            
       -4.20267734       -4.20267734       -3.87773559    -4987.34905117                            
       -3.50674558       -3.50674558       -3.37780507    -4981.76351036                            
       -2.05519138       -2.05519138       -2.16905596    -4992.71182506                            
       -2.05393815       -2.05393815       -2.14472361    -4987.66781971                            
       -2.81273089       -2.81273089       -2.96908532    -4962.41332058                            
       -1.00964903       -1.00964903       -1.47029800    -4953.69058523                            
       -2.17466185       -2.17466185       -2.06306382    -4961.81260162                            
       -2.50704398       -2.50704398       -2.46925465    -4969.55839779                            
       -3.05694669       -3.05694669       -2.93247840    -4969.37753391                            
       -3.48079605       -3.48079605       -3.28669298    -4968.25280923                            
       -3.39768406       -3.39768406       -3.35054296    -4937.07876042                            
       -3.01644820       -3.01644820       -3.16623307    -4943.33940746                            
       -2.76289068       -2.76289068       -2.80716383    -4925.47201477                            
       -2.91837388       -2.91837388       -2.79870226    -4941.94689487                            
       -3.42315629       -3.42315629       -3.40340379    -4948.14606902                            
       -3.74440088       -3.74440088       -3.53816738    -4939.29790068                            
       -2.60648010       -2.60648010       -2.61966922    -4949.61743525                            
       -2.41165507       -2.41165507       -2.77902002    -4933.45771240                            
       -3.99959893       -3.99959893       -3.85015103    -4949.46442365                            
       -4.08624928       -4.08624928       -3.96122245    -4951.08930645                            
       -3.98641559       -3.98641559       -4.01825619    -4959.59572805                            
       -3.08473342       -3.08473342       -3.78386328    -4971.13418513                            
       -2.16736766       -2.16736766       -3.47756295    -4962.10594076                            
       -3.22639534       -3.22639534       -3.78130465    -4940.72755444                            
       -2.05516648       -2.05516648       -2.95980845    -4928.31689955                            
       -2.90982060       -2.90982060       -3.37721083    -4944.28884611                            
       -3.39174818       -3.39174818       -3.87253183    -4947.56988491                            
       -4.15249780       -4.15249780       -4.53402367    -4934.86674688                            
       -1.99600647       -1.99600647       -2.85456901    -4937.17799685                            
       -3.05049178       -3.05049178       -3.50574062    -4941.95835927                            
       -2.18071365       -2.18071365       -3.41987662    -4956.53382972                            
        1.67289357        1.67289357       -1.12438549    -4967.76943899                            
       -0.87924151       -0.87924151       -1.79019220    -4954.74138069                            
       -1.28747043       -1.28747043       -2.33172372    -4954.36859489                            
       -3.47904513       -3.47904513       -3.78254149    -4963.36751119                            
       -3.97574594       -3.97574594       -4.14281982    -4968.15911425                            
       -2.78270327       -2.78270327       -3.54158061    -4974.98405285                            
       -2.45439749       -2.45439749       -3.16782395    -4981.56534248                            
       -3.26768791       -3.26768791       -3.28714522    -4978.58110256                            
       -1.47542482       -1.47542482       -2.14586566    -4963.32895715                            
        0.04088976        0.04088976       -1.22293568    -4955.74733010                            
       -0.17871068       -0.17871068       -1.39091008    -4976.20212923                            
       -0.22126578       -0.22126578       -1.25247032    -4988.78128434                            
       -1.80581911       -1.80581911       -2.48470451    -4982.03232623                            
       -2.57238911       -2.57238911       -2.84529545    -4989.26470016                            
       -3.08131906       -3.08131906       -3.17529060    -4990.13310806                            
       -2.72145633       -2.72145633       -2.87567435    -4980.11332047                            
       -3.30313314       -3.30313314       -3.14633048    -4991.52069692                            
       -1.54146161       -1.54146161       -2.53352090    -5009.09182877                            
       -2.00024069       -2.00024069       -3.22830372    -5006.21086328                            
       -3.57119359       -3.57119359       -4.09328456    -5009.08263270                            
       -2.92234186       -2.92234186       -3.67370928    -4999.66083997                            
       -2.70556461       -2.70556461       -3.70787641    -5002.13119391                            
       -3.24078782       -3.24078782       -4.11467882    -5009.50724474                            
       -2.50258931       -2.50258931       -3.64077325    -5015.40399231                            
       -2.06680454       -2.06680454       -3.71620443    -4993.38120747                            
       -1.82294230       -1.82294230       -3.26756583    -4977.19087284                            
       -4.52477723       -4.52477723       -4.65411085    -4954.75666789                            
       -3.08211024       -3.08211024       -3.75072217    -4954.30078269                            
       -4.07131109       -4.07131109       -4.43393607    -4970.70327313                            
       -3.53999412       -3.53999412       -4.01008553    -4980.20258854                            
       -4.07881905       -4.07881905       -4.84480671    -4991.13433790                            
       -2.91265658       -2.91265658       -4.14935248    -5005.89410763                            
       -1.73896060       -1.73896060       -3.29790747    -4974.61554683                            
       -2.87914870       -2.87914870       -4.02388608    -4984.62719706                            
       -3.73156834       -3.73156834       -4.36577132    -4989.65041379                            
       -2.60442146       -2.60442146       -3.96361283    -4996.94393972                            
       -1.23941704       -1.23941704       -3.16092160    -4988.04773150                            
       -3.33454208       -3.33454208       -4.39189263    -5016.68305685                            
       -2.74525851       -2.74525851       -3.76246992    -5002.99992213                            
       -2.88024146       -2.88024146       -3.07953219    -5000.13220856                            
       -1.82006160       -1.82006160       -2.33670853    -5002.45956720                            
       -1.00720417       -1.00720417       -2.24418055    -5000.32313248                            
       -1.37611882       -1.37611882       -2.84399533    -4993.65861506                            
       -1.43015038       -1.43015038       -3.17755603    -4998.42444944                            
       -0.81414402       -0.81414402       -2.22207018    -5008.04921432                            
       -0.20621774       -0.20621774       -1.83618301    -4985.01118708                            
       -1.00382189       -1.00382189       -2.08974834    -4975.37898172                            
       -2.49932002       -2.49932002       -3.06325771    -4981.79144897                            
       -1.88600835       -1.88600835       -2.58229718    -4988.43255743                            
       -2.10494727       -2.10494727       -2.86352169    -4985.64774426                            
       -0.20387263       -0.20387263       -1.58446093    -4992.69060018                            
        1.17105675        1.17105675       -0.53703469    -4980.48899249                            
        1.40012670        1.40012670        0.57834743    -4998.45089637                            
        1.50558106        1.50558106        0.82594300    -4994.47153276                            
        1.16988361        1.16988361        0.21314361    -4992.93793360                            
        2.40969017        2.40969017        1.64820466    -4977.94996313                            
        4.29192479        4.29192479        2.95381321    -4996.70639884                            
        3.26560855        3.26560855        2.51560855    -4991.18149418                            
        5.64279327        5.64279327        4.57082713    -4984.82748925                            
        5.11423482        5.11423482        4.43329767    -4960.72204285                            
        5.27715088        5.27715088        4.99856401    -4974.11181008                            
        4.08990351        4.08990351        3.57469124    -4969.80232921                            
        3.60562538        3.60562538        3.04466698    -4978.62979090                            
        4.91906399        4.91906399        4.36287336    -4962.67829235                            
        4.67033290        4.67033290        3.80115446    -4952.45081637                            
        4.45254332        4.45254332        3.52659877    -4955.23650728                            
        4.05741020        4.05741020        3.41870837    -4943.21773387                            
        5.28981632        5.28981632        4.93223533    -4952.38580123                            
        7.65595655        7.65595655        6.58594634    -4951.48704966                            
        8.87504775        8.87504775        7.50308072    -4941.63203710                            
        8.53965229        8.53965229        7.72724952    -4947.18966114                            
        9.16316159        9.16316159        8.44543277    -4955.12959874                            
        9.60311033        9.60311033        8.56728873    -4958.95780865                            
        6.24616263        6.24616263        5.61573938    -4937.13893326                            
        5.12196321        5.12196321        4.43766768    -4925.57157014                            
        4.59458907        4.59458907        3.78927099    -4937.08453406                            
        3.80226666        3.80226666        3.08132097    -4924.14492681                            
        4.24677528        4.24677528        3.62558294    -4933.76098978                            
        5.32623281        5.32623281        3.99650945    -4934.49869929                            
        4.88054438        4.88054438        3.50980897    -4924.09220723                            
        4.29261869        4.29261869        3.20146881    -4931.27144315                            
        5.66308068        5.66308068        5.11748084    -4927.40683807                            
