        L = 0.95          L = 0.90          L = 0.99     Etotal @ L = 0.00
        2.78402203        3.32317374        2.50754799    -4985.69955940                            
        2.14192508        2.43656431        1.84054869    -4993.70632641                            
        2.16590970        2.45677373        1.86668516    -4998.55625127                            
        3.05046921        3.32377035        2.77338311    -4999.98254291                            
        3.97827619        4.28310235        3.68705512    -4988.55783026                            
        3.57991965        3.90230945        3.26873951    -4992.76210355                            
        3.86460958        4.24828729        3.51243022    -4994.04325171                            
        3.93601578        4.31369603        3.55234203    -4990.40416677                            
        4.31448400        4.73965996        3.94152837    -4989.93857655                            
        4.65313597        5.05932670        4.29467089    -5002.59621777                            
        4.42796017        4.88696937        4.03093054    -5014.58161356                            
        5.03934162        5.51361537        4.62352630    -5009.79555160                            
        5.03208430        5.44480308        4.65922300    -4996.27919761                            
        5.95906129        6.39500015        5.54520585    -4989.45313402                            
        5.93558405        6.51753651        5.41629748    -4983.26571623                            
        5.52706818        6.04762121        5.04542762    -4973.48835098                            
        5.41020467        5.91798859        4.93932514    -4971.21668986                            
        6.62116021        7.16113279        6.13439710    -4986.29819609                            
        7.94812705        8.48988904        7.44475879    -4975.58956180                            
        8.74255158        9.36707514        8.17541717    -4968.25050328                            
        7.64475941        8.29088549        7.06385429    -4965.66736747                            
        7.03063687        7.65219582        6.46905655    -4988.54821698                            
        6.68203542        7.30096261        6.14172107    -4998.48135792                            
        6.56709602        7.31352704        5.92577762    -4986.45596587                            
        5.82458076        6.55437510        5.18714432    -5017.74644414                            
        5.87729861        6.51520261        5.32535412    -5036.27764750                            
        6.13819555        6.79072121        5.55483393    -5048.11431293                            
        6.54752118        7.24596691        5.94833126    -5035.82512980                            
        5.48288428        6.13570789        4.91717577    -5046.68545226                            
        5.23081248        5.90249663        4.65500032    -5028.53493900                            
        4.65407464        5.26113175        4.12621452    -5027.54286560                            
        4.36019219        4.92793757        3.86021087    -5023.80344304                            
        3.78306300        4.39194291        3.23251465    -5017.50896871                            
        4.12030286        4.73320831        3.57571651    -5011.62651729                            
        3.96743078        4.50153220        3.49533052    -5003.61248573                            
        5.05745246        5.49645089        4.66919281    -5020.29972215                            
        4.12944063        4.65845797        3.67042658    -5039.50492030                            
        4.51501518        5.01831781        4.06880495    -5031.47171782                            
        4.47757133        5.10090809        3.94257449    -5002.30058064                            
        4.23498436        4.85494781        3.70461157    -5004.07476991                            
        4.67667395        5.21317847        4.19411503    -5013.48861548                            
        3.80126623        4.29635276        3.35250524    -4991.09686237                            
        3.86461688        4.34339636        3.42448214    -4997.57652693                            
        4.47313712        4.91108568        4.05517509    -4992.09875249                            
        4.29975018        4.70884239        3.91313870    -4997.65897860                            
        3.68604144        4.07830280        3.33369336    -5023.16218651                            
        3.89140127        4.27465476        3.55136217    -5023.93296703                            
        3.32010364        3.74342602        2.95383280    -5029.78452120                            
        3.28673954        3.74766503        2.88483515    -5035.75445957                            
        2.44115587        2.90499322        2.03786176    -5017.83664322                            
        3.12640676        3.60405106        2.70561264    -5035.21973657                            
        3.72534977        4.12980302        3.36062676    -5025.83209281                            
        4.03920831        4.45047410        3.65674091    -5012.22334165                            
