        L = 0.90          L = 0.85          L = 0.95     Etotal @ L = 0.00
        5.16800277        5.34566001        4.90533924    -5031.15727832                            
        5.47558977        5.71206015        5.15639136    -5035.72222401                            
        4.76247395        5.01195352        4.44044570    -5030.43811802                            
        4.36139880        4.57641961        4.08213971    -5023.28240526                            
        5.46293943        5.68106903        5.18611667    -5021.42375301                            
        4.15527032        4.39072778        3.86390596    -5033.78471572                            
        4.17573453        4.42768874        3.86121006    -5033.37574093                            
        4.63195768        4.89882287        4.30528055    -5029.47650552                            
        4.49167013        4.76278701        4.17078387    -5019.70608481                            
        4.42862906        4.70167794        4.10572602    -5027.16151264                            
        4.15756744        4.44034081        3.82804976    -5028.70629371                            
        4.17693870        4.47899779        3.82070761    -5009.46933772                            
        4.62908676        4.92072834        4.27865780    -5001.81533121                            
        4.27512802        4.48274867        3.99861363    -5000.52337551                            
        4.94752714        5.14264745        4.68589119    -5005.80880492                            
        6.10966819        6.29761286        5.87036918    -5007.48164504                            
        5.00042184        5.21365345        4.73637333    -5000.58857135                            
        5.42504712        5.58983218        5.19831694    -4993.49282891                            
        4.71957841        4.84536651        4.53495578    -5015.71974649                            
        6.24166770        6.33064689        6.09151867    -5040.56934590                            
        6.25137385        6.32149711        6.12385075    -5026.51947078                            
        5.76193865        5.76868420        5.70531659    -5026.66242515                            
        6.02732969        6.01251117        5.97034524    -5005.19185506                            
        5.44066317        5.44953367        5.34435245    -5020.58868167                            
        6.11581594        6.17659258        5.98768095    -5021.07217157                            
        6.06205501        6.10767926        5.95938535    -5031.77707286                            
        5.37850444        5.43080218        5.26959651    -5028.85688637                            
        5.65913505        5.73241423        5.53138370    -5024.42737412                            
        4.60015768        4.62855831        4.51190825    -5027.09861558                            
        3.46001032        3.49636275        3.37294323    -5016.50582293                            
        4.36899865        4.42224535        4.26622677    -4988.43358664                            
        3.99046258        4.03823828        3.89000337    -4991.06470181                            
        3.63479740        3.73525529        3.48313675    -5003.38712392                            
        3.72148215        3.80692772        3.58017493    -5010.11588252                            
        5.73157719        5.77472837        5.63179438    -4985.27317304                            
        5.25615716        5.27614042        5.17531537    -4976.82145070                            
        5.01635005        5.08365596        4.88419580    -4982.20701859                            
        3.92582703        3.98830717        3.81196578    -4999.30686071                            
        3.81705528        3.87986526        3.69977214    -4981.30316178                            
        4.54299227        4.62805397        4.39952339    -4980.91097777                            
        5.67382935        5.73935100        5.54442355    -4979.70299592                            
        5.46447043        5.51455735        5.34579658    -4977.65325830                            
        4.78508286        4.83237657        4.67702464    -4980.41040243                            
        5.06488676        5.12601706        4.93668883    -4989.73537555                            
        5.77159045        5.95515462        5.52311665    -4997.83825104                            
        5.46988417        5.63530293        5.24608413    -5002.50118434                            
        5.90278596        6.03662445        5.70903254    -5000.14395803                            
        5.14695659        5.30646246        4.93905161    -4999.09597145                            
        5.44358936        5.62918183        5.20950460    -5006.01159968                            
        4.44948550        4.63318269        4.21736266    -4999.25578636                            
        3.81225364        3.96998304        3.60499795    -4997.34254714                            
        4.21407981        4.35750894        4.02182692    -4967.59620617                            
        4.44700708        4.58106117        4.25758673    -4975.28847861                            
        3.18019483        3.24863735        3.05117839    -4974.12009779                            
        1.99338506        2.02526301        1.89229837    -4980.65504760                            
        1.76922074        1.79744640        1.67906142    -4979.22477370                            
        1.72951990        1.73135615        1.65063960    -4985.98545256                            
        1.60501604        1.56822024        1.54783185    -4988.74378103                            
        2.60757690        2.59973022        2.52257944    -5001.05674660                            
        3.20284060        3.16084162        3.13607284    -4983.09540575                            
        3.60570511        3.60313208        3.51131534    -4999.89194136                            
        3.80380067        3.89449815        3.71871311    -5016.87811918                            
        4.39446792        4.40039196        4.27904922    -5023.49648191                            
        4.08659079        4.14135046        3.94154346    -5021.75161375                            
        3.63527762        3.67345877        3.50825283    -5016.80000006                            
        3.38216857        3.43934206        3.26610992    -5016.30416460                            
        2.60580069        2.64556844        2.51268577    -5033.83826165                            
        2.96808663        3.01008610        2.87986222    -5014.66385101                            
        2.47363289        2.50385732        2.40353328    -5019.89622050                            
        3.26113972        3.31387682        3.17270900    -5022.70713795                            
        4.34117805        4.42128489        4.21993942    -5010.83774956                            
        5.01662394        5.12560998        4.86613524    -5026.98138941                            
        4.63367638        4.74057274        4.48794748    -5039.90706268                            
        4.96830375        5.08284735        4.81858320    -5030.91943266                            
        5.47203033        5.59427416        5.31203596    -5031.12182893                            
        6.21123529        6.35600844        6.03056502    -5030.31291074                            
        7.33799629        7.49754311        7.13244424    -5038.17130987                            
        6.31289460        6.46682576        6.10803879    -5023.64684490                            
        6.81266313        7.03624104        6.54171706    -5023.80993223                            
        7.12282291        7.36857294        6.83502389    -5013.40845891                            
