        L = 0.15          L = 0.10          L = 0.20     Etotal @ L = 0.00
        0.23702953       -0.25055400        0.94456599    -5016.96061618                            
        1.42521870        1.66837330        1.68282852    -5024.52563533                            
        0.37996668       -0.03900980        1.05082185    -5014.31881249                            
       -0.07729189       -0.26308161        0.47453851    -5028.31748688                            
       -1.05784202       -0.65222163       -0.80788194    -5035.62301601                            
       -0.42006524        0.19182107       -0.29165922    -5052.29638246                            
        0.09643598        1.22712597       -0.08902352    -5031.49353829                            
        0.00152634        1.49946804       -0.37549782    -5024.78699946                            
       -0.99792947       -0.72689292       -0.69726320    -5027.22336768                            
       -0.64538523       -0.29270392       -0.42494760    -5038.36978140                            
       -0.93010725        0.33965399       -1.16512652    -5050.75550198                            
       -1.20711287       -0.25594119       -1.32971409    -5054.53154812                            
       -1.94606812       -1.57631308       -1.72345247    -5049.09421958                            
       -2.74201041       -2.77880420       -2.28673180    -5051.87999264                            
       -2.72710578       -2.46092136       -2.48324246    -5037.93750054                            
       -2.49331438       -2.12077913       -2.28037900    -5040.20319703                            
       -3.81609770       -3.88012815       -3.35262728    -5031.43439903                            
       -3.67628487       -4.22943908       -2.92197548    -5046.89913325                            
       -3.78688098       -4.27709499       -3.04420099    -5043.54023338                            
       -4.08506943       -4.61426467       -3.28431026    -5028.13413383                            
       -4.51361438       -5.10408371       -3.68281597    -5026.22163330                            
       -3.97087000       -4.45660020       -3.21215811    -5016.48316427                            
       -3.91729452       -4.32575714       -3.19838752    -5030.30094115                            
       -4.06548280       -4.31593096       -3.41370032    -5029.44241094                            
       -3.79103432       -3.97887380       -3.19539940    -5025.85013020                            
       -2.62186080       -2.60823430       -2.16785453    -5011.15339666                            
       -3.16782533       -3.18149395       -2.68119482    -5000.49647341                            
       -3.31105333       -3.11376014       -2.93729892    -5018.62360210                            
       -3.46907849       -3.22428670       -3.10639429    -5018.67676622                            
       -3.28441071       -2.96457161       -2.97621830    -5019.83799114                            
       -3.91748610       -3.69552781       -3.55169937    -5012.79190738                            
       -4.03722862       -3.55550920       -3.78668564    -5006.58469613                            
       -4.29474762       -4.49179167       -3.67411582    -4996.90599705                            
       -3.19262490       -2.91688969       -2.85432142    -5004.31170311                            
       -2.60140417       -2.25279225       -2.27422787    -5011.11280617                            
       -3.22355793       -3.41168006       -2.61531396    -5019.89948939                            
       -2.00368661       -2.24667542       -1.40182638    -5004.41985189                            
       -1.45110215       -0.55110940       -1.45542195    -5006.40149774                            
       -0.71293140       -0.30426569       -0.49268281    -4981.00731313                            
        1.34006271        1.55648117        1.66051664    -4975.15643165                            
        0.83741705        1.07401720        1.15331530    -4962.04204433                            
        0.32072581        0.39890216        0.75841130    -4958.43796210                            
       -0.44465613       -0.04221717       -0.15072017    -4982.95984502                            
       -2.01590094       -1.88999480       -1.60533332    -4985.08108204                            
       -3.14891489       -3.17990608       -2.65120339    -4975.20042885                            
       -3.23943914       -3.56196774       -2.59155346    -4982.45006155                            
       -2.73814135       -2.84343533       -2.22753908    -4979.23527634                            
       -2.36539295       -2.46459356       -1.82747961    -4966.57865485                            
       -1.67896173       -1.55349188       -1.28409543    -4960.46902654                            
       -1.96020358       -1.72302834       -1.62808706    -4950.59060226                            
       -0.98048778       -0.78155303       -0.62621707    -4973.92325831                            
        0.23285866        0.66923347        0.47249644    -4969.42546364                            
        1.33045827        1.85892209        1.49542676    -4970.70227808                            
        2.25761027        3.19444109        2.20471548    -4954.47185651                            
        3.22857525        4.43277456        3.04273824    -4949.66265082                            
        4.14774222        7.30639330        3.01928319    -4947.63408456                            
        4.74500262        6.08310204        4.40178601    -4947.14092334                            
        3.90371802        4.74225781        3.81937752    -4958.61230253                            
        4.82467795        6.23597344        4.44664215    -4987.13908805                            
        5.16167689        5.94528680        5.09583313    -4975.58892338                            
        5.67841338        7.08318228        5.27387505    -4979.96854401                            
        4.59441934        5.36625836        4.54778263    -4990.00092489                            
        4.47538902        4.93736576        4.55113312    -5009.50657510                            
        2.53558745        2.04871659        3.15644123    -5029.26531380                            
        3.36318445        3.01951208        3.91028116    -5025.36079094                            
        4.68800800        5.29831606        4.71593190    -5010.77726374                            
        3.35945628        3.18445539        3.80544885    -5018.63815850                            
        5.14839353        5.87261855        5.10874026    -5012.20695754                            
        3.65661058        4.09245986        3.76714290    -5018.00967883                            
        5.31122396        5.93064753        5.31409242    -5015.99817769                            
        6.79004102        8.68350687        6.15378495    -5011.53425968                            
        5.24341501        5.82347229        5.27717449    -5010.37950935                            
        3.69898216        5.20485981        3.26789916    -5028.52754580                            
        3.91658264        4.30498021        4.09530813    -5035.31440664                            
        4.28832604        4.27759971        4.68600446    -5030.02093361                            
        3.05918060        2.83093426        3.59239536    -5018.54457191                            
        4.73899910        5.08677496        4.94358858    -5003.61802963                            
        3.99476741        3.79623083        4.50520407    -5029.65371064                            
        5.28144142        5.68504080        5.49999267    -5015.52667585                            
        5.48590232        5.96886289        5.66906221    -5026.51882211                            
        4.51380588        4.51637820        4.92296353    -5032.15544380                            
        3.41877636        2.95245388        4.09417035    -5020.17359237                            
        3.66256347        3.25545486        4.32770423    -5030.17836922                            
        2.58830824        2.11658794        3.28554758    -5027.49510769                            
        3.29295377        2.55056100        4.10360557    -5036.58373614                            
        2.69325700        2.05886146        3.43709203    -5016.64699468                            
        3.23919205        2.65081029        3.95256467    -5017.18041530                            
        2.71092121        2.26876289        3.31503945    -5005.73458273                            
        2.50746585        2.42315533        2.90251166    -5007.39003711                            
        4.69792144        5.85783706        4.36910483    -5003.86573496                            
        3.10860593        2.66477439        3.73627791    -5025.76572893                            
        3.53223095        3.54851241        3.88989838    -5028.15745889                            
        1.25298347        0.66578628        1.96257523    -5031.52696140                            
        2.17105835        1.73139252        2.81692889    -4983.81362109                            
        2.22235366        1.53899651        2.98060529    -4996.18817893                            
        1.43524618        0.78493536        2.18560614    -5005.71178883                            
        1.40500498        1.25019418        1.88046357    -5019.91431610                            
        3.45219930        3.11916621        4.03473794    -5002.66987601                            
        3.01046779        2.92404083        3.47196624    -5021.64617475                            
        2.46652242        1.92176369        3.17865775    -5025.42982127                            
        1.74300651        1.06162501        2.54130269    -5007.62350017                            
        1.56953682        0.88056564        2.38226680    -5020.05668691                            
        1.64170941        0.77367088        2.52964338    -5019.85692499                            
       -0.13922928       -0.91034123        0.69079885    -5021.19877308                            
       -0.62702334       -1.07081612        0.02587684    -5013.07606317                            
        0.18069889       -0.46965641        0.97391771    -5036.88147985                            
        0.01416124       -0.57394942        0.77472230    -5026.85881107                            
        0.69899512        0.27229920        1.36557682    -5015.46877100                            
        0.65303800        0.09823773        1.38606538    -5013.87126741                            
        1.24968049        1.80104526        1.42722207    -5020.96297485                            
        1.72250242        1.90425321        2.03945909    -5014.82604158                            
        0.39453609       -0.43712414        1.23831825    -5003.69416543                            
        1.66299764        0.97723662        2.43692468    -4983.24737587                            
        1.92137756        1.40140468        2.59843221    -4977.66930555                            
        1.48185512        1.65155536        1.79064357    -4987.56114966                            
        0.05351862       -0.36773102        0.69601620    -4994.70604455                            
        0.82806724        0.56851419        1.39496309    -4989.11772115                            
        1.66420483        1.31437438        2.28704468    -5009.40292816                            
        0.99038554        0.93918816        1.46687751    -5014.47396918                            
        1.02148803        0.98023360        1.47947794    -5028.73515051                            
        1.35389616        1.29483502        1.79988058    -5035.28382277                            
        0.02628343       -0.21045942        0.59519268    -5045.32919975                            
       -0.05754667       -0.23973892        0.47536745    -5046.14907970                            
       -1.49600036       -2.03548109       -0.74277676    -5044.00719959                            
       -1.35923905       -1.71323158       -0.69052129    -5038.57458783                            
       -1.32111903       -1.59384588       -0.71694423    -5040.91025952                            
       -0.75199868       -0.74443298       -0.32741872    -5032.04414980                            
       -1.42946454       -1.29747932       -1.06908471    -5034.56537292                            
       -2.42069302       -3.04480467       -1.67071879    -5018.00528615                            
       -2.23779597       -2.37681825       -1.79267980    -5017.94598465                            
       -1.25873077       -1.12413972       -1.03038825    -5013.01694279                            
       -2.23621058       -2.63998586       -1.64114212    -5012.64227755                            
       -0.33131982        0.31833095       -0.41096945    -5016.54845965                            
       -0.04810959        0.24883950        0.07262322    -5022.86700163                            
        0.63564980        1.13450540        0.58947352    -5040.98427217                            
       -0.21176106       -0.55483330        0.30997447    -5051.07067686                            
       -1.13358089       -1.64368559       -0.45967703    -5064.71638626                            
        0.54285495        0.51137020        0.91251285    -5061.38604136                            
        0.71407861        0.56267729        1.14944650    -5044.72191877                            
        1.23301927        0.94929968        1.74904884    -5040.60992028                            
        1.38746188        1.47432046        1.71492918    -5037.60452192                            
        1.31254273        0.70552318        2.01971539    -5028.77630017                            
        1.78493951        1.23842535        2.48160214    -5047.52456133                            
        1.58957686        1.59017093        1.99725002    -5050.78700185                            
        0.95201594        1.08118785        1.30216868    -5053.12379976                            
        1.39831741        1.79450501        1.59153471    -5080.58501305                            
        1.28493244        0.95601727        1.87997427    -5066.67814124                            
        1.51182192        1.65146271        1.85991534    -5077.08139380                            
        1.32091947        1.36887852        1.74204698    -5073.23605309                            
        2.80466595        3.07426624        3.13549491    -5049.63461859                            
        2.77140378        2.52021104        3.29899429    -5046.69782705                            
        3.48105904        4.41774502        3.39262056    -5022.28447741                            
        1.07433161        0.97618063        1.56527638    -5038.09626164                            
        0.89790318        0.47518671        1.53983852    -5043.89416695                            
        0.12870068       -0.46872455        0.87706842    -5053.29166336                            
        0.85009875        0.97019303        1.22741059    -5046.57079312                            
        0.86298403        1.99489465        0.75848943    -5032.14096503                            
        0.26453214        0.42524024        0.65411349    -5045.05906274                            
        2.53988988        3.74296761        2.37525278    -5042.92491866                            
        3.45494209        4.59437807        3.22961567    -5042.37676002                            
        2.52143438        2.22500448        3.10765875    -5059.37575075                            
        2.54333643        2.51918804        2.95065083    -5041.55977268                            
        3.72852331        4.93449964        3.43230294    -5061.03095671                            
        1.84179536        1.65944847        2.32845546    -5071.93437673                            
        1.01434167        0.58897393        1.66807233    -5070.29408921                            
        0.42092601       -0.01990833        1.07923885    -5067.64963807                            
       -0.07761185       -0.62814643        0.64155235    -5044.48696222                            
        1.14139861        1.34718130        1.34918727    -5037.14469345                            
        1.21699693        1.02934966        1.73207109    -5037.23260955                            
        2.02025006        1.66247529        2.63435797    -5022.01639726                            
        1.43038731        1.67188517        1.69700594    -5027.72708500                            
        1.61558205        1.87281104        1.88015349    -5029.54094172                            
        1.51844403        1.59615160        1.89021827    -5037.68252125                            
        0.59070629       -0.26852106        1.49285973    -5047.78957358                            
        0.76014731       -0.18622111        1.70545817    -5029.26107449                            
        0.43565175       -0.21068425        1.18565645    -5011.66603941                            
        0.91032575        0.43833586        1.57330389    -5020.89865323                            
        0.66398634        0.16168930        1.35468620    -5033.85693090                            
        1.03451763        0.45129797        1.76229969    -5032.12873467                            
        1.31579748        1.07249095        1.83618989    -5007.66779376                            
        1.11908681        0.95463301        1.60252230    -4993.71472545                            
        2.40339239        2.30516258        2.84950769    -4988.65865011                            
        1.33726206        1.22815096        1.78008634    -4996.24726507                            
        3.38292515        3.18281582        3.86400091    -4974.45182577                            
        4.26239328        3.93373635        4.82281664    -4986.03972263                            
        3.14218977        2.97888819        3.61289275    -4992.47025707                            
        2.28623522        1.81109514        2.93704343    -4979.82549253                            
        1.03776770        0.55229073        1.70576327    -4993.07169835                            
        2.12489426        1.97591399        2.57466257    -4991.07437515                            
        2.10943374        1.90329695        2.60239727    -4981.27225644                            
        2.31249193        1.80453357        2.97373832    -4982.11263206                            
        2.40560844        1.79459987        3.10929328    -4986.52770637                            
        1.97162155        1.28417644        2.73574826    -4996.52188400                            
        1.34412888        0.56632381        2.15486099    -4976.91620071                            
        1.04959307        0.34648561        1.82069466    -4990.19962810                            
