        L = 0.50          L = 0.45          L = 0.55     Etotal @ L = 0.00
        2.91594223        2.69904649        3.42038461    -5025.76938186                            
        4.04705298        3.62661607        4.68631730    -5034.85672393                            
        3.58117579        2.96038142        4.25197109    -5044.55565924                            
        3.38595104        4.62363009        3.45824804    -5072.33706070                            
        2.93603549        2.98717987        3.39172791    -5068.76673306                            
        3.82558773        3.21201864        4.50875350    -5060.81046336                            
        3.56308047        3.43742137        4.02481297    -5060.66681258                            
        3.45381238        3.14869355        4.03009617    -5051.53053018                            
        3.39201432        3.21878333        3.93264780    -5062.38609536                            
        4.14412987        3.91773003        4.68506120    -5058.47270662                            
        3.80876447        5.14604524        3.80512062    -5046.98616707                            
        3.92138477        4.72224384        4.08143567    -5059.38471594                            
        3.51407848        4.78767238        3.53475027    -5047.74126932                            
        2.38735208        2.43498807        2.85120072    -5052.57409894                            
        2.24488530        2.05145906        2.77455052    -5054.98532959                            
        3.17244217        3.23303179        3.62370905    -5039.14247624                            
        2.70412990        2.84437559        3.09891010    -5017.81421810                            
        2.12035455        2.04713999        2.55099853    -5034.75497498                            
        2.15522999        2.10261274        2.62921392    -5037.41019390                            
        4.23585158        7.72015403        3.36422690    -5035.46953094                            
        3.21034145        5.06370292        2.93891050    -5033.96676742                            
        2.21535622        2.65857358        2.48736153    -5014.95177266                            
        1.38486506        1.31041918        1.88000260    -5043.39865213                            
        0.53328619        1.07835251        0.79329102    -5050.69097220                            
        0.27582507        0.20624280        0.72597229    -5038.24557764                            
        0.29662016        0.17046043        0.75054562    -5043.44946477                            
        0.62146098        0.76562121        0.99349529    -5059.78426476                            
        1.86844311        2.79436404        1.91641484    -5053.29993473                            
        2.92050484        3.48990427        3.13816164    -5034.43756197                            
        3.00820607        4.01074325        3.03772781    -5050.11288705                            
        2.78945525        3.17892905        3.08478922    -5055.89545858                            
        2.51745415        2.43175248        2.95518421    -5044.49937979                            
        2.23823287        2.01528965        2.75335145    -5044.27266390                            
        1.09615981        0.59823841        1.72825373    -5049.17170094                            
        1.70926062        2.17365182        2.04759752    -5058.67602923                            
        2.41083188        3.29107060        2.64189651    -5068.69943101                            
        2.52977361        2.84114932        2.89366120    -5081.46796082                            
        1.69961797        1.21975389        2.35902224    -5078.04918314                            
        1.90963926        1.69916130        2.47896272    -5088.57978430                            
        1.86875651        1.26072177        2.54685576    -5097.11501036                            
        1.99074938        1.43820553        2.65187898    -5084.15176940                            
        2.02693273        1.63286052        2.64729136    -5084.18915696                            
        3.49529406        3.38516520        3.97700448    -5076.43173545                            
        4.11634804        3.99082534        4.60435651    -5085.21070944                            
        2.90444579        2.41510898        3.55110497    -5082.29416447                            
        2.21723844        2.01202675        2.76462525    -5067.75219867                            
        2.15905542        1.83701786        2.73973494    -5067.44654625                            
        3.17167473        3.03159660        3.67814674    -5049.99421139                            
        2.36953797        2.07917393        2.94344365    -5054.16915045                            
        2.47192098        1.93321036        3.12573830    -5066.05120909                            
        3.78233237        3.28221626        4.38714110    -5047.02511278                            
        2.16539510        1.63311199        2.77850596    -5050.25167767                            
        3.11242709        2.90707232        3.61228460    -5043.06942890                            
        5.12426538        5.64745022        5.30973570    -5053.40556425                            
        3.60147776        4.10996871        3.79220335    -5057.41788497                            
        3.59916677        3.71865978        4.01876871    -5063.51713366                            
        2.04185663        2.05050347        2.55785096    -5068.07392279                            
        3.65952076        5.15409220        3.60476639    -5069.29310867                            
        2.50750517        3.76647377        2.56662187    -5066.14518643                            
        2.22458859        3.16754379        2.44336057    -5058.51685407                            
        3.30650141        3.83637527        3.64318594    -5061.28551162                            
        3.69334584        4.24416064        3.97954842    -5056.80133533                            
        5.85138741        7.08657532        5.82265577    -5038.26939474                            
        5.53029410        7.49692982        5.02360638    -5045.77822884                            
        5.05353910        5.89821689        5.13348644    -5047.65637588                            
        4.56319806        4.84527737        4.87379748    -5043.58121802                            
        2.98068228        3.31778394        3.26812214    -5055.27782289                            
        3.74739932        3.73766043        4.17434034    -5052.23832027                            
        3.39389558        3.33868292        3.82140131    -5045.88192920                            
        3.12198151        3.22411326        3.47895068    -5043.22282356                            
        4.54641636        5.50341546        4.57861533    -5028.47041463                            
        4.93267499        5.96882311        4.85425052    -5017.33660854                            
        4.99835496        5.44971716        5.07651235    -4997.47582366                            
        5.51424165        6.35243210        5.39497993    -4995.56831062                            
        5.64522215        5.69968376        5.93136334    -5015.46993495                            
        5.40479976        5.81350441        5.60533035    -5014.54662558                            
        4.30345462        4.41828151        4.57852546    -5012.71130588                            
        3.36701747        3.56878764        3.71661006    -5019.84825953                            
        3.15794726        3.79409668        3.35726109    -5018.74607884                            
        2.93796734        5.45872130        2.42025840    -5026.97812965                            
        1.53307810        3.10788644        1.41363549    -5036.71751529                            
        1.55491824        4.12763088        1.19028580    -5046.37556076                            
        0.50205340        1.01296117        0.81529408    -5058.48175941                            
        1.60335636        1.51256020        2.06895954    -5059.17546959                            
        0.71312582        0.38070692        1.29054397    -5062.41992668                            
        2.03973629        1.86225505        2.53244563    -5049.65345693                            
        2.51888328        2.35496651        3.00058681    -5049.22292881                            
        2.81128867        2.45438370        3.36242981    -5032.79647521                            
        2.63646372        2.28812660        3.18267071    -5042.01000650                            
        1.73887977        1.51266650        2.23267236    -5033.91194769                            
        0.92266234        0.51840569        1.49605670    -5032.53308919                            
        1.04865848        0.70381688        1.58948410    -5045.59035598                            
        0.84778456        1.21886929        1.03943633    -5057.22215578                            
        1.17310977        1.35330415        1.48858284    -5055.34770889                            
        1.98715272        2.06636973        2.31936216    -5048.20766632                            
        1.98462694        2.29008666        2.18777715    -5042.15037587                            
        1.28320470        0.91942441        1.83564911    -5048.39051297                            
        1.21811580        0.98106887        1.72014225    -5052.13933793                            
        0.00200593       -0.42458949        0.61186530    -5043.00753326                            
        0.64154062        0.17156263        1.27265778    -5052.49489734                            
        1.31268754        1.05634247        1.84332098    -5046.94372553                            
        1.06811455        0.84308147        1.58483512    -5038.00101712                            
        1.85920476        1.82402479        2.29972403    -5048.81724197                            
        2.99192863        2.82630049        3.47646144    -5064.36470003                            
        1.49815004        1.18737225        2.01770492    -5064.58710003                            
        1.17141581        0.72415180        1.74236268    -5070.91313230                            
        1.02820327        0.62149485        1.59561761    -5057.19529276                            
        1.74642769        1.54546485        2.23763438    -5071.38623267                            
        1.90018380        1.60853989        2.41071052    -5061.13131402                            
