        L = 0.45          L = 0.40          L = 0.50     Etotal @ L = 0.00
        2.68423795        2.10978401        3.33716078    -4983.16059609                            
        1.54196818        1.00872795        2.19165456    -4971.69657688                            
        2.69516264        2.83153332        3.10202024    -4986.20083346                            
        3.21291404        2.82742710        3.78908883    -4987.46079697                            
        3.04030483        2.95028833        3.49990042    -4993.33817646                            
        2.56166258        3.28403579        2.70025546    -4999.37738143                            
        3.38991055        3.35617154        3.83709298    -5007.62179770                            
        3.34680428        3.47336801        3.74362292    -5002.68976865                            
        4.82708260        5.00733865        5.21167473    -5013.19787827                            
        3.91615158        3.45001755        4.51945069    -5007.35832828                            
        3.58253127        3.43133251        4.05633093    -5014.53966919                            
        3.26453349        3.82071494        3.48438240    -5000.23943244                            
        2.85988857        3.18548433        3.18585235    -5014.23440836                            
        4.05125848        4.20230028        4.41509522    -5007.38088711                            
        5.59917698        6.60978747        5.58590623    -5007.04848079                            
        4.77090147        5.56068186        4.84057902    -5001.83898626                            
        3.75755366        4.47675865        3.85505853    -5001.27529638                            
        3.31053407        3.39519401        3.66357129    -4982.96405520                            
        3.26448655        2.92247845        3.79240385    -5017.58466890                            
        3.16705380        2.96735152        3.65710442    -5014.77903094                            
        4.01126157        4.03146863        4.37873560    -5018.59570666                            
        4.46168872        5.36095561        4.43021226    -5034.29183019                            
        4.70959543        6.20923071        4.42200713    -5050.44563326                            
        3.96722090        6.12018383        3.47394174    -5037.17849074                            
        2.51034151        2.68616698        2.90911716    -5021.85446187                            
        2.17399995        2.18005949        2.65025239    -5018.08007094                            
        2.06608833        2.67443512        2.35845980    -5021.34169409                            
        2.01824384        1.86313604        2.57924858    -5008.31851264                            
        2.04512409        1.59126449        2.72985064    -5012.75559212                            
        1.89153077        1.33984598        2.59096415    -5019.91342367                            
        2.44371082        2.10098472        3.04244515    -5024.51719111                            
        2.87358355        2.44537211        3.51074971    -5013.84135724                            
        2.92882177        3.17935440        3.34430602    -5013.79307164                            
        2.51428490        2.29939370        3.10484009    -5023.22041786                            
        3.07111062        3.23657137        3.48667948    -5034.02612824                            
        2.39175539        1.98142629        2.98415465    -5025.59664948                            
        2.47005663        2.13279868        3.00808991    -5043.94471885                            
        2.38145608        2.03481823        2.95746593    -5030.40166872                            
        3.00058259        2.63923332        3.57464551    -5036.55312894                            
        2.74695297        3.03761654        3.08029452    -5028.07017551                            
        2.01276241        1.40268135        2.70344815    -5028.13276003                            
        2.17783324        1.78665522        2.70879342    -5010.77980809                            
        2.51277349        2.24002869        2.98479996    -5013.99217162                            
        2.02241612        1.70799653        2.53722125    -5013.50302663                            
        1.69718374        1.28920967        2.29589022    -5013.27078517                            
        1.94383861        1.71848253        2.42172874    -5011.09016672                            
        2.59313668        1.95768009        3.26038283    -5027.38079667                            
        4.07256813        3.85764602        4.48951276    -5034.01815959                            
        5.42601690        5.38371093        5.71635730    -5027.89057249                            
        5.91561573        5.71611716        6.25471325    -5012.99680095                            
        7.00878523        8.54260406        6.46611106    -5024.15337749                            
        6.59644908        7.95171753        6.14893077    -5018.08707005                            
        6.66669595        7.98855022        6.27323319    -4993.52690417                            
        7.03836190        9.78776187        5.99968268    -5003.27589244                            
        7.93767039        9.93043442        7.20600994    -4981.81841388                            
        5.52486296        6.06614162        5.58053190    -4985.80328809                            
        7.35945157        7.27914078        7.68454480    -5002.42192279                            
        7.66122429        7.93715988        7.79247787    -4993.18329509                            
        8.00906772        8.89627800        7.95818788    -5000.99530509                            
        7.13642609        7.37054325        7.38914923    -4993.43555213                            
        7.14585661        7.88534799        7.18092724    -5007.99377677                            
        6.55601796        7.03663636        6.74147294    -5002.37922487                            
        8.09265031        9.06098895        8.05006121    -5017.85632629                            
        6.42982484        6.87727176        6.61189564    -5023.16297801                            
        5.71477175        5.91548637        6.01446915    -5034.20837222                            
        5.73245094        5.83130655        6.09373717    -5032.89167635                            
        5.67905012        6.03463547        5.98072390    -5026.07994032                            
        6.63985765       10.04030314        5.83754810    -5024.49765252                            
        5.84427070        7.66308714        5.56946955    -4998.87721052                            
        6.53665017        9.44452006        5.72543459    -4989.67037818                            
        6.06343973        9.83911733        5.15530938    -4973.84359323                            
        5.29507563        7.65031761        4.88821372    -5000.69294491                            
        3.77014605        5.56373122        3.50995308    -5016.55294338                            
        3.35357868        4.88252834        3.13277578    -5010.93494966                            
        2.09601030        3.21879157        2.03984427    -5053.36606629                            
        3.14295761        6.57363811        2.08469263    -5023.69537446                            
        1.18407831        2.73410663        0.96686655    -5022.41599217                            
        2.73964735        4.49287961        2.44516302    -5022.98055647                            
        2.04756185        2.15762050        2.45592692    -5018.36521404                            
        1.70485300        1.54930160        2.22784083    -4995.07425625                            
        3.28490259        4.93623293        3.01302176    -5008.99025643                            
        3.05369852        2.84765509        3.55373061    -4998.26444177                            
        3.41332945        3.63228991        3.75619421    -5017.14620329                            
        2.28323868        2.14901273        2.72710420    -5008.11103084                            
        2.47225811        2.80990899        2.74954439    -5011.34243996                            
        1.90378526        1.86113427        2.34429102    -5015.16664871                            
        2.27513712        2.12008991        2.72318919    -5013.85805203                            
        2.83944663        3.02077868        3.15075476    -5017.42077349                            
        1.40889471        1.73979767        1.68957525    -5027.40587178                            
        2.46115135        2.53132728        2.83631636    -5025.22920817                            
        2.80356270        3.00614453        3.15107117    -5003.89410529                            
        4.57650235        4.81578423        4.90468851    -5018.97590650                            
        2.74765695        2.95929411        3.08769783    -5005.10531730                            
        2.63678266        3.64079420        2.62534580    -4985.46228042                            
        2.47010598        3.42499495        2.52930497    -4996.13788526                            
        2.51463175        4.22515405        2.29647376    -5007.83824340                            
        3.02087370        4.13839348        3.05852939    -5002.35048488                            
        5.00586899        7.44795970        4.55936984    -5003.83154080                            
        5.19610067        6.46127007        5.16858484    -5017.43608803                            
        3.57364121        4.01708745        3.85827671    -5019.01195099                            
        3.95115952        4.91858638        4.01299763    -5018.24266926                            
        2.92360922        3.29537172        3.23333122    -5023.90298351                            
        4.20282953        5.88092791        3.90850630    -5017.48013920                            
        2.49416038        3.29837366        2.58086432    -5019.10378677                            
        1.16520107        1.49812073        1.49450185    -5015.60288908                            
        1.81239780        3.98518543        1.45711592    -5014.33015390                            
        1.36619679        1.99201645        1.61926753    -5014.40577843                            
        1.54854826        2.41011053        1.69490412    -5000.87728601                            
        2.77866253        6.22710725        1.88864386    -4984.97081342                            
        4.56846735       10.88684633        2.63196333    -4985.85069577                            
        3.68791781        6.12405834        3.13906600    -4988.17649061                            
        4.18599791        7.24230606        3.40996400    -5011.26457977                            
        2.93587914        5.03847106        2.56883122    -5019.54553834                            
        3.97001253        6.62799049        3.31594181    -5018.56145377                            
        5.24947930        7.98035300        4.42329601    -5023.12769304                            
        5.18503660        7.96470728        4.47311820    -5017.04090601                            
        5.17807738        7.13461655        4.83231980    -5015.40422596                            
        4.90193054        5.73043292        5.06870128    -5013.52810619                            
        5.88826842        7.48928914        5.72790086    -5002.78362525                            
        6.97188908        9.34736430        6.50489132    -5004.66010593                            
        6.51705539        7.74805770        6.52084287    -5029.66625795                            
        3.72085229        5.02017500        3.71384713    -5011.42107904                            
        4.36142372        6.07948313        4.12155387    -5030.88722586                            
        6.27579612        8.65373511        5.70626822    -5008.45320210                            
        4.67553146        6.40462251        4.40246549    -5030.66990720                            
        5.81789010        8.15633299        5.37674696    -5021.28283215                            
        4.36457536        4.87118341        4.65824860    -5026.35054678                            
        3.69503969        4.95403493        3.74113920    -5026.73223570                            
        4.67520592        6.50767185        4.48282678    -5015.50396277                            
        4.61846260        8.57886785        3.52955468    -5019.26313902                            
        4.13085016        6.22889246        3.77957654    -5030.62131360                            
        4.86643898        8.48853232        3.81690393    -5024.84301708                            
        5.88379018       10.64936333        4.21468595    -5035.22213735                            
        5.09513233        7.46787695        4.55529566    -5025.49602253                            
        6.57032414        8.98885994        6.08906589    -4993.38216350                            
        7.08743891        8.87384103        6.75411148    -4995.98209515                            
        5.89297076        6.98346256        5.89991574    -4999.83708314                            
        4.27398989        5.19629529        4.32452576    -5001.94116492                            
        5.78339440        7.53752524        5.46298027    -5012.64533642                            
        6.55979146        8.66500420        6.03801552    -5005.87804225                            
        5.75871287        9.42681354        4.67332110    -4999.61376080                            
        6.24917030        9.23311484        5.33978810    -4986.98107580                            
        4.36258422        6.22121998        3.98472392    -5003.86844632                            
        4.02928915        5.50250321        3.90090270    -5007.13125947                            
        5.73231579        9.34310941        4.59978719    -5004.48146049                            
        3.76051645        4.60464485        3.82512508    -5004.75191059                            
        2.78014167        2.84291851        3.19080940    -4974.48120802                            
        4.13402203        4.59127114        4.35040905    -4970.09493704                            
        3.80219184        4.95158561        3.70113060    -4972.72236969                            
        3.99667162        5.94406334        3.56986102    -4986.01753658                            
        2.44529678        4.41433104        2.08323392    -4982.08944136                            
        1.79569825        3.11828540        1.68680957    -4965.81758563                            
        1.52799523        2.66544948        1.55009503    -4984.97327717                            
        2.29961748        4.11545360        2.10375383    -4960.53912939                            
        2.09560624        3.54955184        1.91121337    -4962.76943450                            
        2.24321773        2.89551615        2.39627909    -4994.92562898                            
        3.40394635        3.50543686        3.83246907    -4974.25489053                            
        3.99016083        4.05880276        4.43125862    -4994.49357871                            
        3.40583436        3.75065236        3.73987920    -4991.87019386                            
        4.25232617        5.23632402        4.20207363    -5002.06104175                            
        1.92440275        2.21446959        2.25896056    -4989.05153115                            
        3.41702699        4.73244046        3.44254163    -4984.06940603                            
